"Stazione";"Quercianella"
"Codice";"TOS11000513"
"Comune";"Livorno"
"Provincia";"LI"
"GB [m]";"E";1609020;"N";4814970
"WGS84 [°]";"Lat";43.480;"Lon";10.348
"Quota [m]";244,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore -9999 corrisponde a dato mancante
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Max [Â°C]";"Min [Â°C]"
03/08/2018;33.8;25.5
04/08/2018;35.4;25.5
05/08/2018;35.5;24.7
06/08/2018;32.1;24.2
07/08/2018;34.0;23.8
08/08/2018;34.7;23.4
09/08/2018;32.1;22.9
10/08/2018;32.6;22.2
11/08/2018;33.3;21.9
12/08/2018;30.1;21.5
13/08/2018;32.2;20.6
14/08/2018;28.2;17.2
15/08/2018;28.0;20.5
16/08/2018;32.0;22.7
17/08/2018;30.6;22.2
18/08/2018;32.7;21.8
19/08/2018;32.0;23.0
20/08/2018;35.4;23.4
21/08/2018;35.1;23.5
22/08/2018;35.3;19.0
23/08/2018;30.2;22.8
24/08/2018;30.2;22.2
25/08/2018;28.9;21.3
26/08/2018;27.3;17.4
27/08/2018;26.6;17.4
28/08/2018;28.7;19.2
29/08/2018;29.7;20.4
30/08/2018;32.4;20.2
31/08/2018;26.7;19.9
01/09/2018;25.2;17.4
02/09/2018;22.8;15.1
03/09/2018;23.5;17.0
04/09/2018;27.2;17.7
05/09/2018;26.4;18.7
06/09/2018;29.5;19.7
07/09/2018;27.2;19.2
08/09/2018;28.1;18.8
09/09/2018;27.2;20.4
10/09/2018;28.1;20.4
11/09/2018;29.7;20.0
12/09/2018;29.1;20.1
13/09/2018;25.5;19.6
14/09/2018;26.8;19.7
15/09/2018;27.6;20.3
16/09/2018;27.2;19.9
17/09/2018;26.5;18.4
18/09/2018;30.1;20.2
19/09/2018;27.1;21.1
20/09/2018;31.6;21.8
21/09/2018;30.8;20.6
22/09/2018;29.9;20.2
23/09/2018;30.8;20.2
24/09/2018;29.7;17.2
25/09/2018;21.3;14.0
26/09/2018;20.3;12.7
27/09/2018;25.7;13.5
28/09/2018;25.7;19.0
29/09/2018;28.7;17.2
30/09/2018;27.2;17.7
01/10/2018;23.0;13.6
02/10/2018;17.8;10.5
03/10/2018;23.9;14.7
04/10/2018;26.0;16.3
05/10/2018;22.5;17.0
06/10/2018;17.6;14.1
07/10/2018;23.1;15.6
08/10/2018;27.2;16.7
09/10/2018;26.5;17.7
10/10/2018;28.4;17.6
11/10/2018;19.9;15.6
12/10/2018;25.3;17.2
13/10/2018;25.9;17.1
14/10/2018;25.9;17.6
15/10/2018;24.6;16.9
16/10/2018;19.3;17.2
17/10/2018;20.8;16.7
18/10/2018;24.5;17.3
19/10/2018;26.2;17.7
20/10/2018;26.0;17.9
21/10/2018;22.5;11.5
22/10/2018;17.5;10.2
23/10/2018;20.6;13.1
24/10/2018;21.0;14.9
25/10/2018;24.2;15.6
26/10/2018;25.2;16.5
27/10/2018;20.8;17.9
28/10/2018;20.0;16.8
29/10/2018;21.7;13.7
30/10/2018;18.6;10.5
31/10/2018;17.7;12.3
01/11/2018;18.4;11.6
02/11/2018;16.5;13.7
03/11/2018;19.5;14.5
04/11/2018;19.2;15.3
05/11/2018;19.6;14.6
06/11/2018;19.3;13.3
07/11/2018;14.4;12.1
08/11/2018;20.7;12.6
09/11/2018;20.5;13.8
10/11/2018;20.1;14.0
11/11/2018;19.3;14.0
12/11/2018;19.7;14.4
13/11/2018;18.8;14.2
14/11/2018;18.9;13.3
15/11/2018;16.4;11.5
16/11/2018;;
17/11/2018;;
18/11/2018;;
19/11/2018;;
20/11/2018;;
21/11/2018;12.0;8.8
22/11/2018;16.6;10.1
23/11/2018;15.8;10.2
24/11/2018;16.1;12.8
25/11/2018;14.0;9.8
26/11/2018;12.7;8.0
27/11/2018;12.7;7.9
28/11/2018;11.6;7.9
29/11/2018;11.9;7.1
30/11/2018;12.7;9.2
01/12/2018;15.2;9.0
02/12/2018;13.5;9.3
03/12/2018;14.5;11.3
04/12/2018;15.5;11.9
05/12/2018;18.1;11.9
06/12/2018;13.2;9.2
07/12/2018;15.9;9.9
08/12/2018;13.1;11.0
09/12/2018;15.6;11.9
10/12/2018;14.0;10.4
11/12/2018;12.0;7.9
12/12/2018;9.2;6.1
13/12/2018;6.5;1.9
14/12/2018;5.7;3.0
15/12/2018;5.6;2.1
16/12/2018;6.6;2.5
17/12/2018;7.5;3.2
18/12/2018;11.1;6.6
19/12/2018;10.4;7.5
20/12/2018;11.2;7.8
21/12/2018;12.2;8.0
22/12/2018;13.9;11.1
23/12/2018;16.8;11.4
24/12/2018;13.4;10.4
25/12/2018;13.5;7.9
26/12/2018;12.4;7.6
27/12/2018;11.8;8.3
28/12/2018;15.0;8.3
29/12/2018;12.5;8.2
30/12/2018;12.3;9.7
31/12/2018;14.8;9.6
01/01/2019;10.9;6.9
02/01/2019;12.4;5.6
03/01/2019;7.6;3.5
04/01/2019;7.6;2.9
05/01/2019;10.9;4.0
06/01/2019;12.0;7.3
07/01/2019;14.7;7.3
08/01/2019;11.5;7.1
09/01/2019;9.8;5.9
10/01/2019;9.2;3.9
11/01/2019;7.7;3.9
12/01/2019;8.2;3.2
13/01/2019;11.8;7.0
14/01/2019;14.8;9.2
15/01/2019;15.5;8.3
16/01/2019;13.5;7.7
17/01/2019;13.8;7.7
18/01/2019;14.7;6.2
19/01/2019;8.1;5.3
20/01/2019;13.6;4.6
21/01/2019;6.9;3.2
22/01/2019;4.7;1.2
23/01/2019;4.0;0.5
24/01/2019;6.3;2.1
25/01/2019;7.4;3.3
26/01/2019;10.5;3.2
27/01/2019;11.2;6.5
28/01/2019;10.8;4.6
29/01/2019;11.3;3.5
30/01/2019;6.1;1.1
31/01/2019;9.0;1.6
01/02/2019;12.5;8.9
02/02/2019;11.8;6.7
03/02/2019;12.1;6.1
04/02/2019;11.0;6.2
05/02/2019;11.7;5.2
06/02/2019;14.0;7.6
07/02/2019;15.7;7.6
08/02/2019;13.9;7.7
09/02/2019;13.4;7.8
10/02/2019;13.7;8.6
11/02/2019;11.5;7.2
12/02/2019;12.1;6.4
13/02/2019;13.7;7.3
14/02/2019;14.8;7.8
15/02/2019;14.2;7.8
16/02/2019;16.0;8.3
17/02/2019;13.7;7.7
18/02/2019;15.0;7.2
19/02/2019;11.1;8.2
20/02/2019;16.8;7.9
21/02/2019;12.6;7.5
22/02/2019;13.8;8.2
23/02/2019;12.9;5.1
24/02/2019;12.2;3.4
25/02/2019;16.3;6.0
26/02/2019;14.4;10.5
27/02/2019;14.7;9.4
28/02/2019;13.7;8.3
01/03/2019;13.5;8.5
02/03/2019;16.5;8.1
03/03/2019;17.8;8.8
04/03/2019;15.0;9.1
05/03/2019;16.6;9.0
06/03/2019;17.4;9.5
07/03/2019;15.1;10.2
08/03/2019;15.8;9.1
09/03/2019;17.4;9.1
10/03/2019;14.1;10.2
11/03/2019;15.3;7.8
12/03/2019;12.9;5.4
13/03/2019;13.2;7.8
14/03/2019;18.0;6.4
15/03/2019;19.5;10.1
16/03/2019;18.4;10.0
17/03/2019;17.2;10.4
18/03/2019;17.5;8.1
19/03/2019;11.2;6.7
20/03/2019;12.4;6.3
21/03/2019;16.2;7.2
22/03/2019;21.3;10.8
23/03/2019;22.7;12.6
24/03/2019;20.2;9.9
25/03/2019;16.8;9.3
26/03/2019;12.0;5.7
27/03/2019;14.4;7.5
28/03/2019;15.1;7.7
29/03/2019;18.0;9.2
30/03/2019;17.5;9.3
31/03/2019;15.7;8.3
01/04/2019;18.7;9.9
02/04/2019;17.1;10.2
03/04/2019;14.6;9.9
04/04/2019;14.3;5.0
05/04/2019;16.2;6.7
06/04/2019;16.6;8.1
07/04/2019;14.0;7.6
08/04/2019;16.6;7.7
09/04/2019;17.7;9.5
10/04/2019;19.2;9.5
11/04/2019;16.3;9.1
12/04/2019;18.4;9.1
13/04/2019;16.9;8.2
14/04/2019;11.0;5.0
15/04/2019;16.9;8.6
16/04/2019;20.9;10.3
17/04/2019;17.7;10.2
18/04/2019;23.9;12.9
19/04/2019;25.2;12.8
20/04/2019;24.8;12.5
21/04/2019;22.8;15.1
22/04/2019;19.1;11.9
23/04/2019;15.4;11.9
24/04/2019;20.6;12.8
25/04/2019;21.6;12.4
26/04/2019;21.0;12.1
27/04/2019;20.7;11.2
28/04/2019;18.3;9.8
29/04/2019;15.9;9.0
30/04/2019;18.9;8.7
01/05/2019;18.0;10.9
02/05/2019;21.0;10.4
03/05/2019;17.6;12.2
04/05/2019;18.6;11.4
05/05/2019;12.6;6.4
06/05/2019;15.9;6.9
07/05/2019;19.9;9.2
08/05/2019;15.3;10.7
09/05/2019;19.4;11.8
10/05/2019;22.9;12.8
11/05/2019;19.8;13.0
12/05/2019;18.8;10.0
13/05/2019;16.6;11.9
14/05/2019;20.5;9.8
15/05/2019;15.4;8.3
16/05/2019;18.9;9.0
17/05/2019;20.2;9.9
18/05/2019;18.6;10.8
19/05/2019;17.9;11.9
20/05/2019;21.8;11.3
21/05/2019;21.2;12.8
22/05/2019;21.8;13.4
23/05/2019;21.3;13.0
24/05/2019;22.6;12.7
25/05/2019;23.4;13.5
26/05/2019;18.8;14.7
27/05/2019;19.9;14.0
28/05/2019;21.4;14.4
29/05/2019;20.5;11.9
30/05/2019;22.8;13.6
31/05/2019;25.2;15.4
01/06/2019;24.5;16.0
02/06/2019;23.6;15.4
03/06/2019;24.1;15.3
04/06/2019;26.3;14.8
05/06/2019;25.1;16.8
06/06/2019;26.0;15.2
07/06/2019;24.6;15.8
08/06/2019;26.1;17.7
09/06/2019;31.7;20.0
10/06/2019;32.6;18.7
11/06/2019;27.4;18.1
12/06/2019;24.2;16.0
13/06/2019;26.5;14.9
14/06/2019;32.7;20.6
15/06/2019;24.2;17.0
16/06/2019;25.4;16.3
17/06/2019;26.8;17.2
18/06/2019;28.6;19.3
19/06/2019;28.8;19.0
20/06/2019;31.3;18.4
21/06/2019;29.6;18.7
22/06/2019;31.2;19.1
23/06/2019;28.2;19.0
24/06/2019;31.7;19.8
25/06/2019;36.3;24.5
26/06/2019;38.7;26.5
27/06/2019;38.8;24.7
28/06/2019;32.0;23.4
29/06/2019;38.7;25.3
30/06/2019;36.6;23.1
01/07/2019;35.8;22.6
02/07/2019;34.8;22.5
03/07/2019;35.8;22.5
04/07/2019;34.3;22.4
05/07/2019;31.9;22.0
06/07/2019;34.9;22.6
07/07/2019;34.6;22.2
08/07/2019;31.8;22.2
09/07/2019;34.2;23.5
10/07/2019;32.4;22.4
11/07/2019;31.0;21.0
12/07/2019;32.7;21.2
13/07/2019;33.6;21.8
14/07/2019;35.6;22.0
15/07/2019;24.1;15.3
16/07/2019;30.4;18.3
17/07/2019;29.3;19.4
18/07/2019;29.0;19.0
19/07/2019;30.8;20.3
20/07/2019;32.4;20.7
21/07/2019;33.0;20.7
22/07/2019;31.5;21.5
23/07/2019;37.6;22.8
24/07/2019;34.6;24.3
25/07/2019;34.6;24.0
26/07/2019;35.6;23.6
27/07/2019;33.4;18.1
28/07/2019;23.0;16.8
29/07/2019;27.9;19.0
30/07/2019;28.0;19.0
31/07/2019;30.1;19.2
01/08/2019;32.9;18.8
02/08/2019;31.3;21.0
03/08/2019;30.1;20.6
04/08/2019;30.2;21.0
05/08/2019;32.2;20.7
06/08/2019;31.2;21.6
07/08/2019;29.1;23.1
08/08/2019;30.5;22.1
09/08/2019;31.0;21.6
10/08/2019;31.9;22.3
11/08/2019;40.7;23.3
12/08/2019;34.6;23.1
13/08/2019;31.6;20.9
14/08/2019;29.6;20.8
15/08/2019;28.1;17.4
16/08/2019;31.1;20.1
17/08/2019;28.4;20.4
18/08/2019;31.0;20.4
19/08/2019;31.4;20.6
20/08/2019;32.2;21.5
21/08/2019;29.6;21.5
22/08/2019;32.6;22.4
23/08/2019;27.8;18.2
24/08/2019;31.0;18.9
25/08/2019;32.2;23.1
26/08/2019;32.1;23.1
27/08/2019;30.8;23.6
28/08/2019;31.6;19.2
29/08/2019;32.1;22.2
30/08/2019;31.9;22.4
31/08/2019;35.2;23.5
01/09/2019;31.0;22.8
02/09/2019;29.7;22.1
03/09/2019;30.9;21.2
04/09/2019;29.8;20.1
05/09/2019;32.8;20.3
06/09/2019;27.9;18.1
07/09/2019;25.9;17.5
08/09/2019;27.9;16.8
09/09/2019;27.7;16.1
10/09/2019;29.4;16.9
11/09/2019;29.7;19.0
12/09/2019;29.7;20.2
13/09/2019;32.0;21.6
14/09/2019;31.5;22.2
15/09/2019;30.1;21.3
16/09/2019;30.5;19.4
17/09/2019;29.0;18.9
18/09/2019;30.5;19.7
19/09/2019;27.3;17.9
20/09/2019;25.5;16.5
21/09/2019;27.2;15.9
22/09/2019;20.7;16.4
23/09/2019;21.2;17.2
24/09/2019;26.0;16.7
25/09/2019;25.4;18.3
26/09/2019;27.4;18.1
27/09/2019;26.7;18.1
28/09/2019;27.2;18.3
29/09/2019;27.3;18.1
30/09/2019;27.9;18.4
01/10/2019;29.2;18.3
02/10/2019;23.9;16.9
03/10/2019;17.7;13.1
04/10/2019;23.9;13.7
05/10/2019;24.5;13.8
06/10/2019;23.1;15.6
07/10/2019;18.4;12.7
08/10/2019;24.2;14.7
09/10/2019;22.0;15.4
10/10/2019;22.7;15.3
11/10/2019;22.2;15.4
12/10/2019;24.6;16.0
13/10/2019;25.5;16.2
14/10/2019;21.8;18.6
15/10/2019;20.9;14.4
16/10/2019;21.2;14.6
17/10/2019;23.8;14.9
18/10/2019;23.4;15.0
19/10/2019;20.7;15.7
20/10/2019;20.6;15.9
21/10/2019;25.1;19.1
22/10/2019;27.4;18.9
23/10/2019;25.1;18.9
24/10/2019;20.1;14.4
25/10/2019;20.8;14.3
26/10/2019;25.1;17.2
27/10/2019;24.4;16.3
28/10/2019;22.4;15.8
29/10/2019;17.9;13.8
30/10/2019;17.4;13.8
31/10/2019;17.6;12.1
01/11/2019;16.3;12.1
02/11/2019;16.9;14.2
03/11/2019;18.1;13.6
04/11/2019;19.6;13.9
05/11/2019;18.1;12.6
06/11/2019;13.4;9.8
07/11/2019;17.8;9.9
08/11/2019;14.3;6.9
09/11/2019;12.3;6.5
10/11/2019;15.2;9.4
11/11/2019;14.1;9.0
12/11/2019;15.0;8.7
13/11/2019;14.9;9.0
14/11/2019;15.8;10.5
15/11/2019;15.2;7.5
16/11/2019;10.9;6.9
17/11/2019;11.2;7.4
18/11/2019;12.8;9.1
19/11/2019;13.2;10.9
20/11/2019;13.9;9.5
21/11/2019;14.7;9.1
22/11/2019;14.1;10.2
23/11/2019;15.8;11.7
24/11/2019;14.1;10.6
25/11/2019;17.1;11.8
26/11/2019;16.0;12.3
27/11/2019;14.3;12.1
28/11/2019;16.7;12.1
29/11/2019;15.6;12.5
30/11/2019;14.4;10.8
01/12/2019;14.6;11.5
02/12/2019;15.3;10.4
03/12/2019;11.7;6.1
04/12/2019;9.6;5.8
05/12/2019;13.3;6.8
06/12/2019;16.5;10.9
07/12/2019;15.9;10.5
08/12/2019;16.9;11.4
09/12/2019;14.3;10.0
10/12/2019;12.1;7.7
11/12/2019;9.4;6.4
12/12/2019;8.4;4.6
13/12/2019;10.9;5.5
14/12/2019;16.0;8.1
15/12/2019;18.3;12.5
16/12/2019;15.0;12.4
17/12/2019;15.3;14.3
18/12/2019;15.2;13.8
19/12/2019;14.6;11.0
20/12/2019;13.5;11.0
21/12/2019;14.4;10.2
22/12/2019;14.5;10.1
23/12/2019;13.1;10.3
24/12/2019;14.6;10.0
25/12/2019;14.1;9.8
26/12/2019;15.2;10.1
27/12/2019;14.8;8.8
28/12/2019;11.8;6.3
29/12/2019;9.1;5.2
30/12/2019;9.2;5.3
31/12/2019;10.7;5.9
01/01/2020;11.3;7.2
02/01/2020;11.1;7.8
03/01/2020;12.2;9.1
04/01/2020;12.4;9.3
05/01/2020;15.3;8.8
06/01/2020;11.3;6.1
07/01/2020;10.2;6.5
08/01/2020;13.6;7.2
09/01/2020;15.2;7.6
10/01/2020;15.2;8.3
11/01/2020;14.2;8.6
12/01/2020;12.3;7.3
13/01/2020;12.7;7.5
14/01/2020;10.2;7.6
15/01/2020;14.1;8.3
16/01/2020;12.9;7.7
17/01/2020;12.6;7.5
18/01/2020;9.6;6.4
19/01/2020;9.7;5.9
20/01/2020;8.2;5.7
21/01/2020;10.1;4.6
22/01/2020;15.9;9.9
23/01/2020;16.3;9.1
24/01/2020;11.4;8.5
25/01/2020;15.0;8.5
26/01/2020;14.3;8.4
27/01/2020;10.7;8.5
28/01/2020;15.9;8.9
29/01/2020;13.9;10.0
30/01/2020;14.7;9.4
31/01/2020;12.4;9.1
01/02/2020;12.8;11.8
02/02/2020;14.9;11.1
03/02/2020;16.5;11.1
04/02/2020;15.8;8.3
05/02/2020;12.9;7.3
06/02/2020;10.9;5.8
07/02/2020;11.8;6.2
08/02/2020;15.4;7.4
09/02/2020;13.8;7.8
10/02/2020;14.1;10.2
11/02/2020;16.3;11.4
12/02/2020;14.9;8.3
13/02/2020;14.9;8.0
14/02/2020;13.4;9.1
15/02/2020;15.7;9.4
16/02/2020;13.7;8.3
17/02/2020;14.4;9.0
18/02/2020;16.5;9.2
19/02/2020;14.3;8.5
20/02/2020;13.9;7.7
21/02/2020;14.3;8.1
22/02/2020;18.6;9.0
23/02/2020;14.3;8.6
24/02/2020;17.1;9.3
25/02/2020;16.3;9.1
26/02/2020;14.4;8.0
27/02/2020;16.1;6.7
28/02/2020;15.5;7.9
29/02/2020;13.5;8.8
01/03/2020;12.3;9.8
02/03/2020;12.6;9.0
03/03/2020;11.4;6.6
04/03/2020;15.7;7.0
05/03/2020;12.1;7.1
06/03/2020;13.7;7.1
07/03/2020;13.0;6.6
08/03/2020;14.8;8.2
09/03/2020;12.0;7.6
10/03/2020;14.2;7.3
11/03/2020;18.0;8.6
12/03/2020;14.9;10.5
13/03/2020;15.8;10.3
14/03/2020;14.5;9.5
15/03/2020;14.7;7.7
16/03/2020;20.2;8.0
17/03/2020;19.5;10.0
18/03/2020;20.1;9.2
19/03/2020;22.2;11.7
20/03/2020;16.0;9.6
21/03/2020;18.9;9.9
22/03/2020;18.4;8.8
23/03/2020;8.5;2.5
24/03/2020;9.9;2.2
25/03/2020;7.0;2.3
26/03/2020;7.1;3.7
27/03/2020;11.7;6.1
28/03/2020;17.0;8.4
29/03/2020;16.2;8.8
30/03/2020;16.0;8.8
31/03/2020;10.3;4.1
01/04/2020;12.1;3.3
02/04/2020;16.6;4.1
03/04/2020;16.2;6.3
04/04/2020;19.3;10.5
05/04/2020;19.9;11.4
06/04/2020;21.9;13.0
07/04/2020;23.4;13.1
08/04/2020;22.3;13.5
09/04/2020;22.5;11.4
10/04/2020;19.6;11.4
11/04/2020;19.7;10.7
12/04/2020;19.7;11.0
13/04/2020;18.9;9.8
14/04/2020;21.3;10.3
15/04/2020;20.1;8.3
16/04/2020;19.8;10.5
17/04/2020;21.2;10.7
18/04/2020;19.2;12.1
19/04/2020;18.3;12.5
20/04/2020;15.0;11.4
21/04/2020;12.1;10.0
22/04/2020;15.3;11.1
23/04/2020;22.4;13.1
24/04/2020;22.2;11.3
25/04/2020;22.7;11.4
26/04/2020;21.8;11.8
27/04/2020;22.4;11.9
28/04/2020;15.9;12.1
29/04/2020;20.7;12.5
30/04/2020;21.9;12.1
01/05/2020;19.2;13.0
02/05/2020;20.8;14.4
03/05/2020;22.9;14.1
04/05/2020;24.2;14.4
05/05/2020;19.6;13.3
06/05/2020;22.5;14.0
07/05/2020;26.4;14.1
08/05/2020;24.1;14.7
09/05/2020;21.2;14.3
10/05/2020;23.3;15.0
11/05/2020;19.5;11.7
12/05/2020;20.8;13.4
13/05/2020;23.0;15.4
14/05/2020;27.4;15.9
15/05/2020;21.6;14.4
16/05/2020;20.7;15.7
17/05/2020;25.6;15.7
18/05/2020;23.6;14.7
19/05/2020;20.0;14.7
20/05/2020;23.6;13.6
21/05/2020;26.2;17.2
22/05/2020;27.6;16.6
23/05/2020;26.6;16.2
24/05/2020;24.5;16.6
25/05/2020;28.1;17.2
26/05/2020;27.3;17.2
27/05/2020;24.1;15.4
28/05/2020;24.2;15.7
29/05/2020;20.3;12.3
30/05/2020;22.0;12.6
31/05/2020;23.7;15.3
01/06/2020;24.3;15.2
02/06/2020;25.6;17.3
03/06/2020;25.8;16.3
04/06/2020;18.9;16.5
05/06/2020;23.8;15.5
06/06/2020;25.0;16.1
07/06/2020;22.2;15.9
08/06/2020;23.4;15.3
09/06/2020;21.5;15.1
10/06/2020;17.7;12.2
11/06/2020;20.3;11.8
12/06/2020;25.0;15.0
13/06/2020;25.9;13.5
14/06/2020;23.1;14.2
15/06/2020;24.6;16.3
16/06/2020;25.2;16.3
17/06/2020;25.8;16.3
18/06/2020;26.6;16.3
19/06/2020;27.0;15.8
20/06/2020;25.0;16.3
21/06/2020;25.4;16.9
22/06/2020;27.8;17.7
23/06/2020;31.3;19.6
24/06/2020;32.3;20.4
25/06/2020;29.4;20.1
26/06/2020;29.7;19.8
27/06/2020;32.0;20.5
28/06/2020;30.2;20.2
29/06/2020;31.0;19.2
30/06/2020;30.4;19.4
01/07/2020;30.5;19.0
02/07/2020;31.3;20.6
03/07/2020;31.4;19.7
04/07/2020;28.0;19.3
05/07/2020;28.2;19.7
06/07/2020;28.0;20.1
07/07/2020;29.2;20.9
08/07/2020;31.8;19.8
09/07/2020;28.9;19.5
10/07/2020;28.9;20.0
11/07/2020;30.4;19.9
12/07/2020;31.0;21.7
13/07/2020;30.3;19.8
14/07/2020;28.9;19.5
15/07/2020;31.3;19.6
16/07/2020;29.4;19.0
17/07/2020;29.0;19.5
18/07/2020;30.3;19.1
19/07/2020;32.0;20.0
20/07/2020;28.8;19.8
21/07/2020;29.3;20.0
22/07/2020;31.1;20.7
23/07/2020;31.7;20.8
24/07/2020;31.3;18.6
25/07/2020;29.3;19.6
26/07/2020;31.2;20.0
27/07/2020;32.5;20.9
28/07/2020;30.6;21.3
29/07/2020;33.1;22.1
30/07/2020;32.3;23.0
31/07/2020;33.5;23.1
01/08/2020;34.2;22.5
02/08/2020;32.9;22.7
03/08/2020;28.6;22.0
04/08/2020;27.1;19.1
05/08/2020;28.3;19.6
06/08/2020;27.8;20.4
07/08/2020;30.8;22.3
08/08/2020;33.8;24.5
09/08/2020;35.9;25.0
10/08/2020;32.2;22.7
11/08/2020;31.0;21.0
12/08/2020;31.6;21.5
13/08/2020;33.1;22.5
14/08/2020;33.2;22.7
15/08/2020;30.0;21.9
16/08/2020;31.6;21.6
17/08/2020;30.1;22.0
18/08/2020;30.4;21.5
19/08/2020;29.7;21.3
20/08/2020;30.9;20.7
21/08/2020;35.4;22.9
22/08/2020;33.4;22.0
23/08/2020;30.4;21.1
24/08/2020;32.7;20.9
25/08/2020;31.5;21.7
26/08/2020;31.8;21.2
27/08/2020;33.1;21.2
28/08/2020;32.6;20.7
29/08/2020;27.7;21.1
30/08/2020;26.4;19.5
31/08/2020;20.2;13.8
01/09/2020;26.3;15.8
02/09/2020;25.8;18.5
03/09/2020;25.9;18.2
04/09/2020;28.7;18.9
05/09/2020;26.6;19.0
06/09/2020;26.8;18.6
07/09/2020;30.9;19.9
08/09/2020;29.7;21.3
09/09/2020;33.1;21.9
10/09/2020;29.5;21.0
11/09/2020;32.4;22.8
12/09/2020;31.5;22.7
13/09/2020;32.2;23.5
14/09/2020;31.1;23.5
15/09/2020;31.5;23.3
16/09/2020;29.5;21.5
17/09/2020;27.0;20.8
18/09/2020;29.5;22.7
19/09/2020;29.9;20.9
20/09/2020;27.9;17.0
21/09/2020;25.5;18.8
22/09/2020;22.4;15.1
23/09/2020;21.3;15.1
24/09/2020;26.4;16.7
25/09/2020;20.6;11.9
26/09/2020;21.2;8.0
27/09/2020;13.5;9.5
28/09/2020;17.9;11.6
29/09/2020;22.5;14.0
30/09/2020;24.2;15.4
01/10/2020;24.3;15.7
02/10/2020;20.3;15.7
03/10/2020;20.3;11.5
04/10/2020;21.5;12.2
05/10/2020;19.3;12.8
06/10/2020;19.4;13.3
07/10/2020;20.6;15.4
08/10/2020;24.0;15.4
09/10/2020;19.8;14.9
10/10/2020;17.5;14.9
11/10/2020;16.5;8.9
12/10/2020;13.1;8.8
13/10/2020;19.2;10.2
14/10/2020;18.1;10.2
15/10/2020;15.0;9.5
16/10/2020;15.3;10.4
17/10/2020;19.9;10.9
18/10/2020;18.9;10.9
19/10/2020;17.2;12.3
20/10/2020;20.2;12.2
21/10/2020;19.9;13.0
22/10/2020;20.6;15.3
23/10/2020;18.0;16.3
24/10/2020;18.6;13.9
25/10/2020;19.4;13.4
26/10/2020;17.9;11.6
27/10/2020;17.5;10.9
28/10/2020;15.9;11.5
29/10/2020;18.2;13.0
30/10/2020;20.0;13.5
31/10/2020;16.8;13.2
01/11/2020;17.0;13.9
02/11/2020;17.2;14.5
03/11/2020;15.7;14.0
04/11/2020;17.6;13.6
05/11/2020;18.6;13.5
06/11/2020;18.0;12.4
07/11/2020;21.6;14.2
08/11/2020;20.6;13.6
09/11/2020;20.6;12.9
10/11/2020;17.5;12.9
11/11/2020;17.4;12.7
12/11/2020;16.1;12.5
13/11/2020;19.2;12.5
14/11/2020;18.8;13.2
15/11/2020;19.0;12.6
16/11/2020;15.3;11.3
17/11/2020;14.9;10.7
18/11/2020;17.8;11.1
19/11/2020;15.2;10.6
20/11/2020;13.3;6.4
21/11/2020;9.3;5.9
22/11/2020;9.4;5.1
23/11/2020;11.5;6.7
24/11/2020;11.7;7.0
25/11/2020;16.0;9.1
26/11/2020;14.4;10.7
27/11/2020;17.3;12.3
28/11/2020;13.5;10.5
29/11/2020;13.8;9.8
30/11/2020;12.6;8.4
01/12/2020;12.0;5.4
02/12/2020;8.5;4.4
03/12/2020;9.7;4.6
04/12/2020;12.8;7.0
05/12/2020;14.4;8.5
06/12/2020;11.8;6.9
07/12/2020;12.8;5.2
08/12/2020;11.0;7.6
09/12/2020;10.2;6.5
10/12/2020;10.5;5.9
11/12/2020;11.8;6.4
12/12/2020;8.7;6.9
13/12/2020;10.2;7.4
14/12/2020;11.4;7.9
15/12/2020;13.9;10.5
16/12/2020;14.2;10.0
17/12/2020;13.6;11.2
18/12/2020;17.0;11.3
19/12/2020;14.4;11.3
20/12/2020;16.6;10.3
21/12/2020;15.4;9.6
22/12/2020;12.5;9.8
23/12/2020;12.4;11.2
24/12/2020;14.2;10.7
25/12/2020;12.8;3.9
26/12/2020;6.6;3.1
27/12/2020;7.1;2.3
28/12/2020;10.8;5.6
29/12/2020;12.4;6.5
30/12/2020;7.8;4.5
31/12/2020;10.9;4.8
01/01/2021;9.1;5.7
02/01/2021;9.2;5.8
03/01/2021;11.3;5.5
04/01/2021;9.8;3.8
05/01/2021;7.4;3.3
06/01/2021;7.0;2.1
07/01/2021;9.8;5.0
08/01/2021;7.3;3.1
09/01/2021;4.2;2.9
10/01/2021;4.2;1.5
11/01/2021;4.5;1.0
12/01/2021;6.6;1.6
13/01/2021;11.8;5.6
14/01/2021;11.5;8.5
15/01/2021;9.3;4.0
16/01/2021;7.0;2.2
17/01/2021;7.9;3.8
18/01/2021;10.3;3.4
19/01/2021;12.1;5.7
20/01/2021;11.6;6.5
21/01/2021;14.3;9.0
22/01/2021;12.2;8.0
23/01/2021;11.1;5.9
24/01/2021;10.2;5.9
25/01/2021;10.7;5.5
26/01/2021;9.3;3.9
27/01/2021;12.8;5.3
