"Stazione";"Prato Università"
"Codice";"TOS01001205"
"Comune";"Prato"
"Provincia";"PO"
"GB [m]";"E";1668657;"N";4861320
"WGS84 [°]";"Lat";43.886;"Lon";11.099
"Quota [m]";65,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore -9999 corrisponde a dato mancante
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Precipitazione [mm]";"Tipo Dato"
01/01/2004;0,0;V
02/01/2004;0,0;V
03/01/2004;0,0;V
04/01/2004;0,0;V
05/01/2004;0,0;V
06/01/2004;0,0;V
07/01/2004;0,0;V
08/01/2004;0,0;V
09/01/2004;6,8;V
10/01/2004;0,0;V
11/01/2004;0,0;V
12/01/2004;3,6;V
13/01/2004;0,6;V
14/01/2004;0,0;V
15/01/2004;3,4;V
16/01/2004;3,8;V
17/01/2004;18,8;V
18/01/2004;22,4;V
19/01/2004;0,0;V
20/01/2004;0,0;V
21/01/2004;0,0;V
22/01/2004;0,0;V
23/01/2004;0,0;V
24/01/2004;0,0;V
25/01/2004;1,6;V
26/01/2004;8,8;V
27/01/2004;3,8;V
28/01/2004;1,6;V
29/01/2004;20,4;V
30/01/2004;0,2;V
31/01/2004;0,0;V
01/02/2004;0,0;V
02/02/2004;0,0;V
03/02/2004;0,0;V
04/02/2004;0,0;V
05/02/2004;0,0;V
06/02/2004;0,0;V
07/02/2004;0,6;V
08/02/2004;0,4;V
09/02/2004;0,0;V
10/02/2004;0,0;V
11/02/2004;0,0;V
12/02/2004;0,0;V
13/02/2004;0,0;V
14/02/2004;0,0;V
15/02/2004;0,0;V
16/02/2004;0,0;V
17/02/2004;0,0;V
18/02/2004;8,6;V
19/02/2004;24,4;V
20/02/2004;0,6;V
21/02/2004;12,6;V
22/02/2004;20,4;V
23/02/2004;16,4;V
24/02/2004;0,0;V
25/02/2004;3,2;V
26/02/2004;10,4;V
27/02/2004;2,0;V
28/02/2004;30,8;V
29/02/2004;0,4;V
01/03/2004;0,0;V
02/03/2004;0,0;V
03/03/2004;0,0;V
04/03/2004;0,0;V
05/03/2004;0,0;V
06/03/2004;12,0;V
07/03/2004;11,4;V
08/03/2004;0,2;V
09/03/2004;0,0;V
10/03/2004;1,6;V
11/03/2004;8,2;V
12/03/2004;0,0;V
13/03/2004;0,0;V
14/03/2004;0,0;V
15/03/2004;0,0;V
16/03/2004;0,0;V
17/03/2004;0,0;V
18/03/2004;0,0;V
19/03/2004;0,0;V
20/03/2004;0,0;V
21/03/2004;0,0;V
22/03/2004;0,0;V
23/03/2004;4,6;V
24/03/2004;2,8;V
25/03/2004;11,8;V
26/03/2004;0,0;V
27/03/2004;0,0;V
28/03/2004;0,0;V
29/03/2004;0,0;V
30/03/2004;0,0;V
31/03/2004;3,0;V
01/04/2004;0,0;V
02/04/2004;0,0;V
03/04/2004;0,0;V
04/04/2004;0,0;V
05/04/2004;0,0;V
06/04/2004;0,0;V
07/04/2004;13,8;V
08/04/2004;0,0;V
09/04/2004;11,2;V
10/04/2004;0,2;V
11/04/2004;0,0;V
12/04/2004;2,0;V
13/04/2004;0,2;V
14/04/2004;0,0;V
15/04/2004;1,4;V
16/04/2004;17,0;V
17/04/2004;4,4;V
18/04/2004;9,6;V
19/04/2004;13,4;V
20/04/2004;0,6;V
21/04/2004;0,0;V
22/04/2004;0,0;V
23/04/2004;0,0;V
24/04/2004;4,4;V
25/04/2004;0,0;V
