"Stazione";"Metato"
"Codice";"TOS11000001"
"Comune";"San Giuliano Terme"
"Provincia";"PI"
"GB [m]";"E";1611400;"N";4847379
"WGS84 [°]";"Lat";43.771;"Lon";10.384
"Quota [m]";3,00

;;;ATTENZIONE i dati sono nel fomato csv ed utilizzano
;;;come separatore di colonna il "punto e virgola" e
;;;come separatore decimale la "virgola"
;;;verificare le proprie impostazioni internazionali per una corretta visulizzazione.
;;;Il valore -9999 corrisponde a dato mancante
;;;Il valore contrassegnato con @ corrisponde al dato mancante
;;;Il valore contrassegnato con V corrisponde al dato validato
;;;Il valore contrassegnato con P corrisponde al dato prevalidato soggetto ad eventuali modifiche
;;;(consultare la sezione Criteri di validazione)

"gg/mm/aaaa";"Vel Med [m/s]";"Dir Med";"Vel Max [m/s]"
17/05/2010;0,9;N;2,7
18/05/2010;1,3;NE;3,2
19/05/2010;1,8;SE;8,6
20/05/2010;1,1;SO;3,0
21/05/2010;1,1;SE;3,6
22/05/2010;1,1;E;3,1
23/05/2010;1,0;SO;4,0
24/05/2010;1,2;SE;3,1
25/05/2010;1,3;O;3,4
26/05/2010;1,2;SO;3,1
27/05/2010;1,2;E;3,5
28/05/2010;1,1;N;3,2
29/05/2010;1,1;N;2,9
30/05/2010;1,0;N;3,0
31/05/2010;1,5;NE;3,5
01/06/2010;1,4;S;3,6
02/06/2010;0,9;N;3,2
03/06/2010;0,9;N;4,1
04/06/2010;1,4;SO;3,9
05/06/2010;1,2;NO;2,8
06/06/2010;1,3;O;3,1
07/06/2010;1,2;SO;3,1
08/06/2010;1,3;N;3,2
09/06/2010;1,1;N;3,1
10/06/2010;1,7;E;3,6
11/06/2010;1,4;NE;3,2
12/06/2010;1,4;S;3,5
13/06/2010;1,6;NO;4,0
14/06/2010;1,0;NO;2,7
15/06/2010;2,2;E;4,9
16/06/2010;1,8;NE;4,9
17/06/2010;1,1;NE;3,4
18/06/2010;1,5;SE;3,8
19/06/2010;2,6;SO;4,7
20/06/2010;1,8;S;3,7
21/06/2010;0,6;E;1,5
22/06/2010;;S;
23/06/2010;;SO;
24/06/2010;;NE;
25/06/2010;;SO;
26/06/2010;;SO;
27/06/2010;;S;
28/06/2010;;NE;
29/06/2010;;O;
30/06/2010;;SO;
01/07/2010;;SO;
02/07/2010;;S;
03/07/2010;0,2;NO;0,3
04/07/2010;1,2;S;2,9
05/07/2010;1,0;E;3,0
06/07/2010;1,2;O;3,5
07/07/2010;1,0;NO;3,1
08/07/2010;1,5;N;3,9
09/07/2010;1,0;SE;3,6
10/07/2010;1,1;N;3,6
11/07/2010;1,1;N;3,3
12/07/2010;1,1;O;3,2
13/07/2010;1,2;N;3,3
14/07/2010;1,0;SO;3,2
15/07/2010;1,2;S;3,5
16/07/2010;1,0;N;2,8
17/07/2010;1,3;N;3,4
18/07/2010;2,0;E;4,3
19/07/2010;1,5;NE;3,7
20/07/2010;1,3;N;3,6
21/07/2010;1,2;N;3,5
22/07/2010;1,2;SO;3,2
23/07/2010;2,0;NE;5,4
24/07/2010;2,7;SO;5,7
25/07/2010;1,1;N;4,0
26/07/2010;1,9;SO;5,0
27/07/2010;0,9;NE;3,5
28/07/2010;1,3;SO;3,9
29/07/2010;2,6;O;7,7
30/07/2010;1,7;E;3,8
31/07/2010;1,2;O;3,4
01/08/2010;1,0;NO;2,8
02/08/2010;1,1;N;3,1
03/08/2010;1,1;N;3,7
04/08/2010;1,1;NE;3,6
05/08/2010;1,4;N;5,1
06/08/2010;1,2;N;3,7
07/08/2010;1,2;E;3,5
08/08/2010;0,9;N;2,8
09/08/2010;1,1;O;3,4
10/08/2010;1,0;N;2,9
11/08/2010;1,0;N;3,4
12/08/2010;0,9;N;3,0
13/08/2010;1,3;NO;4,7
14/08/2010;2,0;N;7,4
15/08/2010;2,3;O;5,4
16/08/2010;2,9;O;6,0
17/08/2010;1,4;N;5,0
18/08/2010;1,3;NO;4,1
19/08/2010;1,3;SE;3,8
20/08/2010;0,8;NE;2,4
21/08/2010;0,9;NE;2,9
22/08/2010;1,1;E;3,5
23/08/2010;1,0;N;3,2
24/08/2010;0,9;N;3,0
25/08/2010;1,0;N;3,2
26/08/2010;1,1;N;4,0
27/08/2010;1,2;N;3,1
28/08/2010;1,4;S;4,1
29/08/2010;1,7;E;4,3
30/08/2010;1,5;S;4,2
31/08/2010;1,0;N;3,0
01/09/2010;1,2;SO;3,9
02/09/2010;0,9;SE;3,5
03/09/2010;1,1;S;3,8
04/09/2010;1,0;E;3,2
05/09/2010;0,9;N;3,1
06/09/2010;0,9;S;2,9
07/09/2010;1,8;E;5,4
08/09/2010;1,8;E;4,6
09/09/2010;2,2;SO;5,6
10/09/2010;0,8;NE;2,9
11/09/2010;1,0;NO;3,3
12/09/2010;1,0;E;3,8
13/09/2010;1,2;N;5,8
14/09/2010;1,0;S;2,6
15/09/2010;1,1;SE;3,2
16/09/2010;1,3;SO;4,1
17/09/2010;1,1;N;3,1
18/09/2010;1,6;SE;6,8
19/09/2010;1,0;NE;2,9
20/09/2010;0,9;O;3,4
21/09/2010;0,6;S;2,2
22/09/2010;0,8;NE;3,0
23/09/2010;0,8;SO;2,8
24/09/2010;0,7;N;2,4
25/09/2010;1,7;E;4,3
26/09/2010;1,3;SE;3,6
27/09/2010;1,8;N;4,8
28/09/2010;1,5;SE;3,5
29/09/2010;0,8;SO;2,4
30/09/2010;0,8;SO;2,9
01/10/2010;0,8;E;2,1
02/10/2010;0,8;NE;2,4
03/10/2010;1,0;S;2,9
04/10/2010;2,2;NE;5,1
05/10/2010;1,2;SO;3,1
06/10/2010;0,8;O;3,0
07/10/2010;0,8;N;2,8
08/10/2010;2,0;NO;4,6
09/10/2010;2,0;NE;5,2
10/10/2010;1,9;SO;5,8
11/10/2010;2,2;NE;5,7
12/10/2010;3,1;SO;6,1
13/10/2010;1,8;E;4,8
14/10/2010;0,7;SE;2,2
15/10/2010;0,7;NE;1,9
16/10/2010;0,9;N;4,2
17/10/2010;2,3;E;4,4
18/10/2010;1,8;SO;4,0
19/10/2010;0,7;SE;2,3
20/10/2010;0,9;SE;3,0
21/10/2010;0,6;SO;1,8
22/10/2010;0,6;N;1,4
23/10/2010;0,5;SO;2,3
24/10/2010;1,3;SE;3,5
25/10/2010;2,2;SE;5,9
26/10/2010;2,9;NE;6,9
27/10/2010;0,8;N;2,3
28/10/2010;0,6;SO;2,2
29/10/2010;0,5;O;1,8
30/10/2010;2,0;SO;4,3
31/10/2010;3,5;E;6,5
01/11/2010;3,8;SE;11,9
02/11/2010;1,0;NE;5,1
03/11/2010;0,5;NE;2,3
04/11/2010;0,7;NE;2,3
05/11/2010;0,6;S;2,2
06/11/2010;0,6;N;1,7
07/11/2010;0,9;SE;3,4
08/11/2010;3,8;SO;9,6
09/11/2010;1,4;E;3,1
10/11/2010;2,5;NE;6,5
11/11/2010;1,1;SO;3,7
12/11/2010;1,7;N;3,7
13/11/2010;0,6;N;2,3
14/11/2010;1,0;NE;3,1
15/11/2010;1,3;NE;2,5
16/11/2010;2,8;E;5,8
17/11/2010;1,0;NE;3,9
18/11/2010;1,4;NE;4,2
19/11/2010;1,4;SE;5,1
20/11/2010;2,3;SE;4,6
21/11/2010;2,1;E;3,9
22/11/2010;0,9;S;3,4
23/11/2010;0,5;N;2,3
24/11/2010;1,0;NE;3,5
25/11/2010;0,9;SO;3,2
26/11/2010;1,8;E;6,4
27/11/2010;2,4;E;4,7
28/11/2010;3,0;NE;8,0
29/11/2010;3,7;E;8,6
30/11/2010;2,6;N;5,8
01/12/2010;2,0;N;6,1
02/12/2010;2,9;SO;5,7
03/12/2010;2,3;NE;6,9
04/12/2010;1,3;SE;3,7
05/12/2010;1,2;S;3,5
06/12/2010;2,0;NE;3,5
07/12/2010;0,5;SE;1,6
08/12/2010;0,6;E;3,3
09/12/2010;2,0;NO;5,9
10/12/2010;1,5;NE;5,5
11/12/2010;0,6;S;2,0
12/12/2010;0,6;SO;2,1
13/12/2010;1,5;O;6,3
14/12/2010;1,2;E;3,9
15/12/2010;1,2;S;4,1
16/12/2010;1,0;N;3,1
17/12/2010;2,5;S;6,1
18/12/2010;0,5;O;2,0
19/12/2010;2,5;SO;5,2
20/12/2010;0,7;SE;2,1
21/12/2010;1,4;S;3,7
22/12/2010;1,7;NE;3,8
23/12/2010;2,9;E;6,8
24/12/2010;0,9;S;3,5
25/12/2010;1,2;SO;2,9
26/12/2010;2,4;NE;4,8
27/12/2010;2,8;NE;5,2
28/12/2010;0,4;SO;1,2
29/12/2010;0,7;S;2,7
30/12/2010;1,0;NE;3,2
31/12/2010;0,4;N;1,4
01/01/2011;0,3;N;1,5
02/01/2011;0,5;NO;2,2
03/01/2011;2,5;NE;6,0
04/01/2011;0,8;S;2,6
05/01/2011;0,8;SO;2,1
06/01/2011;1,8;N;3,7
07/01/2011;1,4;E;2,6
08/01/2011;0,9;E;1,9
09/01/2011;0,8;SE;2,5
