STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA ;VALIDITA
PI-BORGHETTO;PM10;20220101;25;1
PI-BORGHETTO;PM10;20220102;32;1
PI-BORGHETTO;PM10;20220103;22;1
PI-BORGHETTO;PM10;20220104;17;1
PI-BORGHETTO;PM10;20220105;15;1
PI-BORGHETTO;PM10;20220106;4;1
PI-BORGHETTO;PM10;20220107;13;1
PI-BORGHETTO;PM10;20220108;27;1
PI-BORGHETTO;PM10;20220109;20;1
PI-BORGHETTO;PM10;20220110;17;1
PI-BORGHETTO;PM10;20220111;14;1
PI-BORGHETTO;PM10;20220112;11;1
PI-BORGHETTO;PM10;20220113;21;1
PI-BORGHETTO;PM10;20220114;46;1
PI-BORGHETTO;PM10;20220115;56;1
PI-BORGHETTO;PM10;20220116;45;1
PI-BORGHETTO;PM10;20220117;48;1
PI-BORGHETTO;PM10;20220118;50;1
PI-BORGHETTO;PM10;20220119;45;1
PI-BORGHETTO;PM10;20220120;28;1
PI-BORGHETTO;PM10;20220121;28;1
PI-BORGHETTO;PM10;20220122;34;1
PI-BORGHETTO;PM10;20220123;49;1
PI-BORGHETTO;PM10;20220124;47;1
PI-BORGHETTO;PM10;20220125;33;1
PI-BORGHETTO;PM10;20220126;61;1
PI-BORGHETTO;PM10;20220127;58;1
PI-BORGHETTO;PM10;20220128;28;1
PI-BORGHETTO;PM10;20220129;37;1
PI-BORGHETTO;PM10;20220130;34;1
PI-BORGHETTO;PM10;20220131;36;1
PI-BORGHETTO;PM10;20220201;26;1
PI-BORGHETTO;PM10;20220202;37;1
PI-BORGHETTO;PM10;20220203;34;1
PI-BORGHETTO;PM10;20220204;38;1
PI-BORGHETTO;PM10;20220205;34;1
PI-BORGHETTO;PM10;20220206;31;1
PI-BORGHETTO;PM10;20220207;19;1
PI-BORGHETTO;PM10;20220208;28;1
PI-BORGHETTO;PM10;20220209;37;1
PI-BORGHETTO;PM10;20220210;30;1
PI-BORGHETTO;PM10;20220211;38;1
PI-BORGHETTO;PM10;20220212;22;1
PI-BORGHETTO;PM10;20220213;20;1
PI-BORGHETTO;PM10;20220214;27;1
PI-BORGHETTO;PM10;20220215;22;1
PI-BORGHETTO;PM10;20220216;28;1
PI-BORGHETTO;PM10;20220217;30;1
PI-BORGHETTO;PM10;20220218;31;1
PI-BORGHETTO;PM10;20220219;27;1
PI-BORGHETTO;PM10;20220220;23;1
PI-BORGHETTO;PM10;20220221;20;1
PI-BORGHETTO;PM10;20220222;17;1
PI-BORGHETTO;PM10;20220223;30;1
PI-BORGHETTO;PM10;20220224;35;1
PI-BORGHETTO;PM10;20220225;22;1
PI-BORGHETTO;PM10;20220226;8;1
PI-BORGHETTO;PM10;20220227;11;1
PI-BORGHETTO;PM10;20220228;20;1
PI-BORGHETTO;PM10;20220301;17;1
PI-BORGHETTO;PM10;20220302;34;1
PI-BORGHETTO;PM10;20220303;39;1
PI-BORGHETTO;PM10;20220304;26;1
PI-BORGHETTO;PM10;20220305;16;1
PI-BORGHETTO;PM10;20220306;18;1
PI-BORGHETTO;PM10;20220307;31;1
PI-BORGHETTO;PM10;20220308;23;1
PI-BORGHETTO;PM10;20220309;30;1
PI-BORGHETTO;PM10;20220310;41;1
PI-BORGHETTO;PM10;20220311;33;1
PI-BORGHETTO;PM10;20220312;23;1
PI-BORGHETTO;PM10;20220313;21;1
PI-BORGHETTO;PM10;20220314;30;1
PI-BORGHETTO;PM10;20220315;28;1
PI-BORGHETTO;PM10;20220316;24;1
PI-BORGHETTO;PM10;20220317;NaN;0
PI-BORGHETTO;PM10;20220318;27;1
PI-BORGHETTO;PM10;20220319;20;1
PI-BORGHETTO;PM10;20220320;21;1
PI-BORGHETTO;PM10;20220321;26;1
PI-BORGHETTO;PM10;20220322;30;1
PI-BORGHETTO;PM10;20220323;38;1
PI-BORGHETTO;PM10;20220324;39;1
PI-BORGHETTO;PM10;20220325;40;1
PI-BORGHETTO;PM10;20220326;38;1
PI-BORGHETTO;PM10;20220327;36;1
PI-BORGHETTO;PM10;20220328;34;1
PI-BORGHETTO;PM10;20220329;34;1
PI-BORGHETTO;PM10;20220330;20;1
PI-BORGHETTO;PM10;20220331;12;1
PI-BORGHETTO;PM10;20220401;21;1
PI-BORGHETTO;PM10;20220402;10;1
PI-BORGHETTO;PM10;20220403;13;1
PI-BORGHETTO;PM10;20220404;14;1
PI-BORGHETTO;PM10;20220405;19;1
PI-BORGHETTO;PM10;20220406;18;1
PI-BORGHETTO;PM10;20220407;23;1
PI-BORGHETTO;PM10;20220408;26;1
PI-BORGHETTO;PM10;20220409;25;1
PI-BORGHETTO;PM10;20220410;9;1
PI-BORGHETTO;PM10;20220411;14;1
PI-BORGHETTO;PM10;20220412;18;1
PI-BORGHETTO;PM10;20220413;25;1
PI-BORGHETTO;PM10;20220414;24;1
PI-BORGHETTO;PM10;20220415;24;1
PI-BORGHETTO;PM10;20220416;19;1
PI-BORGHETTO;PM10;20220417;10;1
PI-BORGHETTO;PM10;20220418;12;1
PI-BORGHETTO;PM10;20220419;16;1
PI-BORGHETTO;PM10;20220420;20;1
PI-BORGHETTO;PM10;20220421;11;1
PI-BORGHETTO;PM10;20220422;8;1
PI-BORGHETTO;PM10;20220423;12;1
PI-BORGHETTO;PM10;20220424;11;1
PI-BORGHETTO;PM10;20220425;16;1
PI-BORGHETTO;PM10;20220426;17;1
PI-BORGHETTO;PM10;20220427;19;1
PI-BORGHETTO;PM10;20220428;12;1
PI-BORGHETTO;PM10;20220429;14;1
PI-BORGHETTO;PM10;20220430;16;1
PI-BORGHETTO;PM10;20220501;16;1
PI-BORGHETTO;PM10;20220502;19;1
PI-BORGHETTO;PM10;20220503;20;1
PI-BORGHETTO;PM10;20220504;19;1
PI-BORGHETTO;PM10;20220505;20;1
PI-BORGHETTO;PM10;20220506;12;1
PI-BORGHETTO;PM10;20220507;13;1
PI-BORGHETTO;PM10;20220508;18;1
PI-BORGHETTO;PM10;20220509;26;1
PI-BORGHETTO;PM10;20220510;26;1
PI-BORGHETTO;PM10;20220511;20;1
PI-BORGHETTO;PM10;20220512;20;1
PI-BORGHETTO;PM10;20220513;20;1
PI-BORGHETTO;PM10;20220514;24;1
PI-BORGHETTO;PM10;20220515;23;1
PI-BORGHETTO;PM10;20220516;23;1
PI-BORGHETTO;PM10;20220517;24;1
PI-BORGHETTO;PM10;20220518;24;1
PI-BORGHETTO;PM10;20220519;19;1
PI-BORGHETTO;PM10;20220520;21;1
PI-BORGHETTO;PM10;20220521;20;1
PI-BORGHETTO;PM10;20220522;18;1
PI-BORGHETTO;PM10;20220523;21;1
PI-BORGHETTO;PM10;20220524;26;1
PI-BORGHETTO;PM10;20220525;28;1
PI-BORGHETTO;PM10;20220526;34;1
PI-BORGHETTO;PM10;20220527;38;1
PI-BORGHETTO;PM10;20220528;39;1
PI-BORGHETTO;PM10;20220529;11;1
PI-BORGHETTO;PM10;20220530;16;1
PI-BORGHETTO;PM10;20220531;22;1
PI-BORGHETTO;PM10;20220601;22;1
PI-BORGHETTO;PM10;20220602;24;1
PI-BORGHETTO;PM10;20220603;27;1
PI-BORGHETTO;PM10;20220604;35;1
PI-BORGHETTO;PM10;20220605;34;1
PI-BORGHETTO;PM10;20220606;28;1
PI-BORGHETTO;PM10;20220607;25;1
PI-BORGHETTO;PM10;20220608;23;1
PI-BORGHETTO;PM10;20220609;16;1
PI-BORGHETTO;PM10;20220610;11;1
PI-BORGHETTO;PM10;20220611;16;1
PI-BORGHETTO;PM10;20220612;13;1
PI-BORGHETTO;PM10;20220613;13;1
PI-BORGHETTO;PM10;20220614;20;1
PI-BORGHETTO;PM10;20220615;20;1
PI-BORGHETTO;PM10;20220616;38;1
PI-BORGHETTO;PM10;20220617;21;1
PI-BORGHETTO;PM10;20220618;22;1
PI-BORGHETTO;PM10;20220619;15;1
PI-BORGHETTO;PM10;20220620;18;1
PI-BORGHETTO;PM10;20220621;21;1
PI-BORGHETTO;PM10;20220622;24;1
PI-BORGHETTO;PM10;20220623;27;1
PI-BORGHETTO;PM10;20220624;26;1
PI-BORGHETTO;PM10;20220625;22;1
PI-BORGHETTO;PM10;20220626;24;1
PI-BORGHETTO;PM10;20220627;57;1
PI-BORGHETTO;PM10;20220628;49;1
PI-BORGHETTO;PM10;20220629;21;1
PI-BORGHETTO;PM10;20220630;19;1
PI-BORGHETTO;PM10;20220701;19;1
PI-BORGHETTO;PM10;20220702;19;1
PI-BORGHETTO;PM10;20220703;18;1
PI-BORGHETTO;PM10;20220704;20;1
PI-BORGHETTO;PM10;20220705;NaN;0
PI-BORGHETTO;PM10;20220706;NaN;0
PI-BORGHETTO;PM10;20220707;NaN;0
PI-BORGHETTO;PM10;20220708;14;1
PI-BORGHETTO;PM10;20220709;12;1
PI-BORGHETTO;PM10;20220710;12;1
PI-BORGHETTO;PM10;20220711;14;1
PI-BORGHETTO;PM10;20220712;14;1
PI-BORGHETTO;PM10;20220713;20;1
PI-BORGHETTO;PM10;20220714;20;1
PI-BORGHETTO;PM10;20220715;15;1
PI-BORGHETTO;PM10;20220716;18;1
PI-BORGHETTO;PM10;20220717;20;1
PI-BORGHETTO;PM10;20220718;27;1
PI-BORGHETTO;PM10;20220719;26;1
PI-BORGHETTO;PM10;20220720;28;1
PI-BORGHETTO;PM10;20220721;28;1
PI-BORGHETTO;PM10;20220722;27;1
PI-BORGHETTO;PM10;20220723;24;1
PI-BORGHETTO;PM10;20220724;21;1
PI-BORGHETTO;PM10;20220725;20;1
PI-BORGHETTO;PM10;20220726;23;1
PI-BORGHETTO;PM10;20220727;22;1
PI-BORGHETTO;PM10;20220728;22;1
PI-BORGHETTO;PM10;20220729;22;1
PI-BORGHETTO;PM10;20220730;18;1
PI-BORGHETTO;PM10;20220731;15;1
PI-BORGHETTO;PM10;20220801;18;1
PI-BORGHETTO;PM10;20220802;20;1
PI-BORGHETTO;PM10;20220803;19;1
PI-BORGHETTO;PM10;20220804;19;1
PI-BORGHETTO;PM10;20220805;16;1
PI-BORGHETTO;PM10;20220806;16;1
PI-BORGHETTO;PM10;20220807;23;1
PI-BORGHETTO;PM10;20220808;15;1
PI-BORGHETTO;PM10;20220809;19;1
PI-BORGHETTO;PM10;20220810;16;1
PI-BORGHETTO;PM10;20220811;17;1
PI-BORGHETTO;PM10;20220812;16;1
PI-BORGHETTO;PM10;20220813;13;1
PI-BORGHETTO;PM10;20220814;14;1
PI-BORGHETTO;PM10;20220815;16;1
PI-BORGHETTO;PM10;20220816;18;1
PI-BORGHETTO;PM10;20220817;30;1
PI-BORGHETTO;PM10;20220818;24;1
PI-BORGHETTO;PM10;20220819;15;1
PI-BORGHETTO;PM10;20220820;17;1
PI-BORGHETTO;PM10;20220821;19;1
PI-BORGHETTO;PM10;20220822;18;1
PI-BORGHETTO;PM10;20220823;16;1
PI-BORGHETTO;PM10;20220824;13;1
PI-BORGHETTO;PM10;20220825;14;1
PI-BORGHETTO;PM10;20220826;16;1
PI-BORGHETTO;PM10;20220827;17;1
PI-BORGHETTO;PM10;20220828;14;1
PI-BORGHETTO;PM10;20220829;17;1
PI-BORGHETTO;PM10;20220830;16;1
PI-BORGHETTO;PM10;20220831;14;1
PI-BORGHETTO;PM10;20220901;16;1
PI-BORGHETTO;PM10;20220902;12;1
PI-BORGHETTO;PM10;20220903;13;1
PI-BORGHETTO;PM10;20220904;13;1
PI-BORGHETTO;PM10;20220905;19;1
PI-BORGHETTO;PM10;20220906;20;1
PI-BORGHETTO;PM10;20220907;40;1
PI-BORGHETTO;PM10;20220908;25;1
PI-BORGHETTO;PM10;20220909;20;1
PI-BORGHETTO;PM10;20220910;20;1
PI-BORGHETTO;PM10;20220911;18;1
PI-BORGHETTO;PM10;20220912;19;1
PI-BORGHETTO;PM10;20220913;NaN;0
PI-BORGHETTO;PM10;20220914;18;1
PI-BORGHETTO;PM10;20220915;36;1
PI-BORGHETTO;PM10;20220916;22;1
PI-BORGHETTO;PM10;20220917;14;1
PI-BORGHETTO;PM10;20220918;11;1
PI-BORGHETTO;PM10;20220919;15;1
PI-BORGHETTO;PM10;20220920;16;1
PI-BORGHETTO;PM10;20220921;12;1
PI-BORGHETTO;PM10;20220922;11;1
PI-BORGHETTO;PM10;20220923;16;1
PI-BORGHETTO;PM10;20220924;17;1
PI-BORGHETTO;PM10;20220925;10;1
PI-BORGHETTO;PM10;20220926;15;1
PI-BORGHETTO;PM10;20220927;20;1
PI-BORGHETTO;PM10;20220928;20;1
