STAZIONE;PARAMETRO;DATA;MEDIA GIORNALIERA ;VALIDITA
PO-FERRUCCI;PM10;20230101;58;1
PO-FERRUCCI;PM10;20230102;35;1
PO-FERRUCCI;PM10;20230103;52;1
PO-FERRUCCI;PM10;20230104;36;1
PO-FERRUCCI;PM10;20230105;33;1
PO-FERRUCCI;PM10;20230106;32;1
PO-FERRUCCI;PM10;20230107;40;1
PO-FERRUCCI;PM10;20230108;18;1
PO-FERRUCCI;PM10;20230109;16;1
PO-FERRUCCI;PM10;20230110;30;1
PO-FERRUCCI;PM10;20230111;39;1
PO-FERRUCCI;PM10;20230112;25;1
PO-FERRUCCI;PM10;20230113;55;1
PO-FERRUCCI;PM10;20230114;55;1
PO-FERRUCCI;PM10;20230115;52;1
PO-FERRUCCI;PM10;20230116;17;1
PO-FERRUCCI;PM10;20230117;11;1
PO-FERRUCCI;PM10;20230118;11;1
PO-FERRUCCI;PM10;20230119;9;1
PO-FERRUCCI;PM10;20230120;15;1
PO-FERRUCCI;PM10;20230121;8;1
PO-FERRUCCI;PM10;20230122;4;1
PO-FERRUCCI;PM10;20230123;5;1
PO-FERRUCCI;PM10;20230124;6;1
PO-FERRUCCI;PM10;20230125;7;1
PO-FERRUCCI;PM10;20230126;10;1
PO-FERRUCCI;PM10;20230127;10;1
PO-FERRUCCI;PM10;20230128;11;1
PO-FERRUCCI;PM10;20230129;13;1
PO-FERRUCCI;PM10;20230130;32;1
PO-FERRUCCI;PM10;20230131;38;1
PO-FERRUCCI;PM10;20230201;45;1
PO-FERRUCCI;PM10;20230202;50;1
PO-FERRUCCI;PM10;20230203;38;1
PO-FERRUCCI;PM10;20230204;24;1
PO-FERRUCCI;PM10;20230205;11;1
PO-FERRUCCI;PM10;20230206;9;1
PO-FERRUCCI;PM10;20230207;NaN;0
PO-FERRUCCI;PM10;20230208;NaN;0
PO-FERRUCCI;PM10;20230209;29;1
PO-FERRUCCI;PM10;20230210;33;1
PO-FERRUCCI;PM10;20230211;42;1
PO-FERRUCCI;PM10;20230212;55;1
PO-FERRUCCI;PM10;20230213;NaN;0
PO-FERRUCCI;PM10;20230214;43;1
PO-FERRUCCI;PM10;20230215;NaN;0
PO-FERRUCCI;PM10;20230216;NaN;0
PO-FERRUCCI;PM10;20230217;NaN;0
PO-FERRUCCI;PM10;20230218;27;1
PO-FERRUCCI;PM10;20230219;15;1
PO-FERRUCCI;PM10;20230220;28;1
PO-FERRUCCI;PM10;20230221;35;1
PO-FERRUCCI;PM10;20230222;42;1
PO-FERRUCCI;PM10;20230223;36;1
PO-FERRUCCI;PM10;20230224;40;1
PO-FERRUCCI;PM10;20230225;47;1
PO-FERRUCCI;PM10;20230226;11;1
PO-FERRUCCI;PM10;20230227;6;1
PO-FERRUCCI;PM10;20230228;11;1
PO-FERRUCCI;PM10;20230301;6;1
PO-FERRUCCI;PM10;20230302;8;1
PO-FERRUCCI;PM10;20230303;16;1
PO-FERRUCCI;PM10;20230304;18;1
PO-FERRUCCI;PM10;20230305;28;1
PO-FERRUCCI;PM10;20230306;23;1
PO-FERRUCCI;PM10;20230307;32;1
PO-FERRUCCI;PM10;20230308;17;1
PO-FERRUCCI;PM10;20230309;22;1
PO-FERRUCCI;PM10;20230310;29;1
PO-FERRUCCI;PM10;20230311;34;1
PO-FERRUCCI;PM10;20230312;20;1
PO-FERRUCCI;PM10;20230313;21;1
PO-FERRUCCI;PM10;20230314;20;1
PO-FERRUCCI;PM10;20230315;16;1
PO-FERRUCCI;PM10;20230316;9;1
PO-FERRUCCI;PM10;20230317;21;1
PO-FERRUCCI;PM10;20230318;22;1
PO-FERRUCCI;PM10;20230319;30;1
PO-FERRUCCI;PM10;20230320;15;1
PO-FERRUCCI;PM10;20230321;24;1
PO-FERRUCCI;PM10;20230322;28;1
PO-FERRUCCI;PM10;20230323;21;1
PO-FERRUCCI;PM10;20230324;16;1
PO-FERRUCCI;PM10;20230325;21;1
PO-FERRUCCI;PM10;20230326;18;1
PO-FERRUCCI;PM10;20230327;16;1
PO-FERRUCCI;PM10;20230328;11;1
PO-FERRUCCI;PM10;20230329;22;1
PO-FERRUCCI;PM10;20230330;21;1
PO-FERRUCCI;PM10;20230331;27;1
PO-FERRUCCI;PM10;20230401;21;1
PO-FERRUCCI;PM10;20230402;16;1
PO-FERRUCCI;PM10;20230403;9;1
PO-FERRUCCI;PM10;20230404;12;1
PO-FERRUCCI;PM10;20230405;12;1
PO-FERRUCCI;PM10;20230406;18;1
PO-FERRUCCI;PM10;20230407;19;1
PO-FERRUCCI;PM10;20230408;12;1
PO-FERRUCCI;PM10;20230409;12;1
PO-FERRUCCI;PM10;20230410;7;1
PO-FERRUCCI;PM10;20230411;15;1
PO-FERRUCCI;PM10;20230412;17;1
PO-FERRUCCI;PM10;20230413;17;1
PO-FERRUCCI;PM10;20230414;12;1
PO-FERRUCCI;PM10;20230415;9;1
PO-FERRUCCI;PM10;20230416;6;1
PO-FERRUCCI;PM10;20230417;NaN;0
PO-FERRUCCI;PM10;20230418;NaN;0
PO-FERRUCCI;PM10;20230419;NaN;0
PO-FERRUCCI;PM10;20230420;NaN;0
PO-FERRUCCI;PM10;20230421;9;1
PO-FERRUCCI;PM10;20230422;15;1
PO-FERRUCCI;PM10;20230423;15;1
PO-FERRUCCI;PM10;20230424;18;1
PO-FERRUCCI;PM10;20230425;18;1
PO-FERRUCCI;PM10;20230426;12;1
PO-FERRUCCI;PM10;20230427;15;1
PO-FERRUCCI;PM10;20230428;18;1
PO-FERRUCCI;PM10;20230429;18;1
PO-FERRUCCI;PM10;20230430;14;1
PO-FERRUCCI;PM10;20230501;7;1
PO-FERRUCCI;PM10;20230502;4;1
PO-FERRUCCI;PM10;20230503;5;1
PO-FERRUCCI;PM10;20230504;10;1
PO-FERRUCCI;PM10;20230505;16;1
PO-FERRUCCI;PM10;20230506;16;1
PO-FERRUCCI;PM10;20230507;12;1
PO-FERRUCCI;PM10;20230508;19;1
PO-FERRUCCI;PM10;20230509;14;1
PO-FERRUCCI;PM10;20230510;8;1
PO-FERRUCCI;PM10;20230511;11;1
PO-FERRUCCI;PM10;20230512;10;1
PO-FERRUCCI;PM10;20230513;11;1
PO-FERRUCCI;PM10;20230514;7;1
PO-FERRUCCI;PM10;20230515;11;1
PO-FERRUCCI;PM10;20230516;4;1
PO-FERRUCCI;PM10;20230517;6;1
PO-FERRUCCI;PM10;20230518;6;1
PO-FERRUCCI;PM10;20230519;6;1
PO-FERRUCCI;PM10;20230520;10;1
PO-FERRUCCI;PM10;20230521;19;1
PO-FERRUCCI;PM10;20230522;20;1
PO-FERRUCCI;PM10;20230523;26;1
PO-FERRUCCI;PM10;20230524;23;1
PO-FERRUCCI;PM10;20230525;20;1
PO-FERRUCCI;PM10;20230526;18;1
PO-FERRUCCI;PM10;20230527;18;1
PO-FERRUCCI;PM10;20230528;16;1
PO-FERRUCCI;PM10;20230529;18;1
PO-FERRUCCI;PM10;20230530;18;1
PO-FERRUCCI;PM10;20230531;13;1
PO-FERRUCCI;PM10;20230601;11;1
PO-FERRUCCI;PM10;20230602;16;1
PO-FERRUCCI;PM10;20230603;16;1
PO-FERRUCCI;PM10;20230604;15;1
PO-FERRUCCI;PM10;20230605;11;1
PO-FERRUCCI;PM10;20230606;13;1
PO-FERRUCCI;PM10;20230607;15;1
PO-FERRUCCI;PM10;20230608;16;1
PO-FERRUCCI;PM10;20230609;16;1
PO-FERRUCCI;PM10;20230610;16;1
PO-FERRUCCI;PM10;20230611;13;1
PO-FERRUCCI;PM10;20230612;14;1
PO-FERRUCCI;PM10;20230613;12;1
PO-FERRUCCI;PM10;20230614;12;1
PO-FERRUCCI;PM10;20230615;14;1
PO-FERRUCCI;PM10;20230616;20;1
PO-FERRUCCI;PM10;20230617;17;1
PO-FERRUCCI;PM10;20230618;19;1
PO-FERRUCCI;PM10;20230619;21;1
PO-FERRUCCI;PM10;20230620;21;1
PO-FERRUCCI;PM10;20230621;23;1
PO-FERRUCCI;PM10;20230622;28;1
PO-FERRUCCI;PM10;20230623;26;1
PO-FERRUCCI;PM10;20230624;12;1
PO-FERRUCCI;PM10;20230625;10;1
PO-FERRUCCI;PM10;20230626;17;1
PO-FERRUCCI;PM10;20230627;28;1
PO-FERRUCCI;PM10;20230628;19;1
PO-FERRUCCI;PM10;20230629;10;1
PO-FERRUCCI;PM10;20230630;17;1
PO-FERRUCCI;PM10;20230701;14;1
PO-FERRUCCI;PM10;20230702;12;1
PO-FERRUCCI;PM10;20230703;25;1
PO-FERRUCCI;PM10;20230704;18;1
PO-FERRUCCI;PM10;20230705;20;1
PO-FERRUCCI;PM10;20230706;18;1
PO-FERRUCCI;PM10;20230707;13;1
PO-FERRUCCI;PM10;20230708;16;1
PO-FERRUCCI;PM10;20230709;20;1
PO-FERRUCCI;PM10;20230710;28;1
PO-FERRUCCI;PM10;20230711;42;1
PO-FERRUCCI;PM10;20230712;45;1
PO-FERRUCCI;PM10;20230713;40;1
PO-FERRUCCI;PM10;20230714;32;1
PO-FERRUCCI;PM10;20230715;22;1
PO-FERRUCCI;PM10;20230716;27;1
PO-FERRUCCI;PM10;20230717;28;1
PO-FERRUCCI;PM10;20230718;29;1
PO-FERRUCCI;PM10;20230719;34;1
PO-FERRUCCI;PM10;20230720;36;1
PO-FERRUCCI;PM10;20230721;28;1
PO-FERRUCCI;PM10;20230722;22;1
PO-FERRUCCI;PM10;20230723;21;1
PO-FERRUCCI;PM10;20230724;39;1
PO-FERRUCCI;PM10;20230725;33;1
PO-FERRUCCI;PM10;20230726;24;1
PO-FERRUCCI;PM10;20230727;15;1
PO-FERRUCCI;PM10;20230728;18;1
PO-FERRUCCI;PM10;20230729;18;1
PO-FERRUCCI;PM10;20230730;16;1
PO-FERRUCCI;PM10;20230731;16;1
PO-FERRUCCI;PM10;20230801;21;1
PO-FERRUCCI;PM10;20230802;23;1
PO-FERRUCCI;PM10;20230803;21;1
PO-FERRUCCI;PM10;20230804;17;1
PO-FERRUCCI;PM10;20230805;7;1
PO-FERRUCCI;PM10;20230806;19;1
PO-FERRUCCI;PM10;20230807;17;1
PO-FERRUCCI;PM10;20230808;12;1
PO-FERRUCCI;PM10;20230809;16;1
PO-FERRUCCI;PM10;20230810;18;1
PO-FERRUCCI;PM10;20230811;19;1
PO-FERRUCCI;PM10;20230812;14;1
PO-FERRUCCI;PM10;20230813;18;1
PO-FERRUCCI;PM10;20230814;18;1
PO-FERRUCCI;PM10;20230815;18;1
PO-FERRUCCI;PM10;20230816;22;1
PO-FERRUCCI;PM10;20230817;23;1
PO-FERRUCCI;PM10;20230818;24;1
PO-FERRUCCI;PM10;20230819;25;1
PO-FERRUCCI;PM10;20230820;20;1
PO-FERRUCCI;PM10;20230821;22;1
PO-FERRUCCI;PM10;20230822;24;1
PO-FERRUCCI;PM10;20230823;18;1
PO-FERRUCCI;PM10;20230824;NaN;0
PO-FERRUCCI;PM10;20230825;24;1
PO-FERRUCCI;PM10;20230826;26;1
PO-FERRUCCI;PM10;20230827;26;1
PO-FERRUCCI;PM10;20230828;18;1
PO-FERRUCCI;PM10;20230829;9;1
PO-FERRUCCI;PM10;20230830;13;1
PO-FERRUCCI;PM10;20230831;16;1
PO-FERRUCCI;PM10;20230901;18;1
PO-FERRUCCI;PM10;20230902;17;1
PO-FERRUCCI;PM10;20230903;19;1
PO-FERRUCCI;PM10;20230904;15;1
PO-FERRUCCI;PM10;20230905;15;1
PO-FERRUCCI;PM10;20230906;14;1
PO-FERRUCCI;PM10;20230907;17;1
PO-FERRUCCI;PM10;20230908;21;1
PO-FERRUCCI;PM10;20230909;21;1
PO-FERRUCCI;PM10;20230910;20;1
PO-FERRUCCI;PM10;20230911;26;1
PO-FERRUCCI;PM10;20230912;26;1
PO-FERRUCCI;PM10;20230913;24;1
PO-FERRUCCI;PM10;20230914;22;1
PO-FERRUCCI;PM10;20230915;17;1
PO-FERRUCCI;PM10;20230916;21;1
PO-FERRUCCI;PM10;20230917;29;1
PO-FERRUCCI;PM10;20230918;33;1
PO-FERRUCCI;PM10;20230919;26;1
PO-FERRUCCI;PM10;20230920;21;1
PO-FERRUCCI;PM10;20230921;20;1
PO-FERRUCCI;PM10;20230922;20;1
PO-FERRUCCI;PM10;20230923;16;1
PO-FERRUCCI;PM10;20230924;7;1
PO-FERRUCCI;PM10;20230925;10;1
PO-FERRUCCI;PM10;20230926;14;1
PO-FERRUCCI;PM10;20230927;30;1
PO-FERRUCCI;PM10;20230928;27;1
PO-FERRUCCI;PM10;20230929;27;1
PO-FERRUCCI;PM10;20230930;31;1
PO-FERRUCCI;PM10;20231001;23;1
PO-FERRUCCI;PM10;20231002;28;1
PO-FERRUCCI;PM10;20231003;26;1
PO-FERRUCCI;PM10;20231004;25;1
PO-FERRUCCI;PM10;20231005;30;1
PO-FERRUCCI;PM10;20231006;26;1
PO-FERRUCCI;PM10;20231007;29;1
PO-FERRUCCI;PM10;20231008;29;1
PO-FERRUCCI;PM10;20231009;27;1
PO-FERRUCCI;PM10;20231010;26;1
PO-FERRUCCI;PM10;20231011;24;1
PO-FERRUCCI;PM10;20231012;23;1
PO-FERRUCCI;PM10;20231013;25;1
PO-FERRUCCI;PM10;20231014;27;1
PO-FERRUCCI;PM10;20231015;18;1
PO-FERRUCCI;PM10;20231016;11;1
PO-FERRUCCI;PM10;20231017;9;1
PO-FERRUCCI;PM10;20231018;13;1
PO-FERRUCCI;PM10;20231019;21;1
PO-FERRUCCI;PM10;20231020;31;1
PO-FERRUCCI;PM10;20231021;14;1
PO-FERRUCCI;PM10;20231022;16;1
PO-FERRUCCI;PM10;20231023;23;1
PO-FERRUCCI;PM10;20231024;28;1
PO-FERRUCCI;PM10;20231025;13;1
PO-FERRUCCI;PM10;20231026;15;1
PO-FERRUCCI;PM10;20231027;22;1
PO-FERRUCCI;PM10;20231028;18;1
PO-FERRUCCI;PM10;20231029;18;1
PO-FERRUCCI;PM10;20231030;18;1
PO-FERRUCCI;PM10;20231031;19;1
PO-FERRUCCI;PM10;20231101;17;1
PO-FERRUCCI;PM10;20231102;17;1
PO-FERRUCCI;PM10;20231103;13;1
PO-FERRUCCI;PM10;20231104;13;1
PO-FERRUCCI;PM10;20231105;19;1
PO-FERRUCCI;PM10;20231106;21;1
PO-FERRUCCI;PM10;20231107;19;1
PO-FERRUCCI;PM10;20231108;27;1
PO-FERRUCCI;PM10;20231109;23;1
PO-FERRUCCI;PM10;20231110;10;1
PO-FERRUCCI;PM10;20231111;22;1
PO-FERRUCCI;PM10;20231112;23;1
PO-FERRUCCI;PM10;20231113;31;1
PO-FERRUCCI;PM10;20231114;25;1
PO-FERRUCCI;PM10;20231115;30;1
PO-FERRUCCI;PM10;20231116;19;1
PO-FERRUCCI;PM10;20231117;24;1
PO-FERRUCCI;PM10;20231118;32;1
PO-FERRUCCI;PM10;20231119;56;1
PO-FERRUCCI;PM10;20231120;56;1
PO-FERRUCCI;PM10;20231121;22;1
PO-FERRUCCI;PM10;20231122;8;1
PO-FERRUCCI;PM10;20231123;8;1
PO-FERRUCCI;PM10;20231124;33;1
PO-FERRUCCI;PM10;20231125;16;1
PO-FERRUCCI;PM10;20231126;NaN;0
PO-FERRUCCI;PM10;20231127;NaN;0
PO-FERRUCCI;PM10;20231128;NaN;0
PO-FERRUCCI;PM10;20231129;NaN;0
PO-FERRUCCI;PM10;20231130;NaN;0
PO-FERRUCCI;PM10;20231201;NaN;0
PO-FERRUCCI;PM10;20231202;25;1
PO-FERRUCCI;PM10;20231203;7;1
PO-FERRUCCI;PM10;20231204;17;1
PO-FERRUCCI;PM10;20231205;9;1
PO-FERRUCCI;PM10;20231206;NaN;0
PO-FERRUCCI;PM10;20231207;NaN;0
