STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA ;VALIDITA
PI-BORGHETTO;PM10;20200101;90;1
PI-BORGHETTO;PM10;20200102;69;1
PI-BORGHETTO;PM10;20200103;79;1
PI-BORGHETTO;PM10;20200104;60;1
PI-BORGHETTO;PM10;20200105;46;1
PI-BORGHETTO;PM10;20200106;37;1
PI-BORGHETTO;PM10;20200107;66;1
PI-BORGHETTO;PM10;20200108;58;1
PI-BORGHETTO;PM10;20200109;57;1
PI-BORGHETTO;PM10;20200110;62;1
PI-BORGHETTO;PM10;20200111;41;1
PI-BORGHETTO;PM10;20200112;29;1
PI-BORGHETTO;PM10;20200113;48;1
PI-BORGHETTO;PM10;20200114;51;1
PI-BORGHETTO;PM10;20200115;43;1
PI-BORGHETTO;PM10;20200116;51;1
PI-BORGHETTO;PM10;20200117;52;1
PI-BORGHETTO;PM10;20200118;17;1
PI-BORGHETTO;PM10;20200119;16;1
PI-BORGHETTO;PM10;20200120;10;1
PI-BORGHETTO;PM10;20200121;20;1
PI-BORGHETTO;PM10;20200122;42;1
PI-BORGHETTO;PM10;20200123;53;1
PI-BORGHETTO;PM10;20200124;48;1
PI-BORGHETTO;PM10;20200125;24;1
PI-BORGHETTO;PM10;20200126;33;1
PI-BORGHETTO;PM10;20200127;34;1
PI-BORGHETTO;PM10;20200128;24;1
PI-BORGHETTO;PM10;20200129;33;1
PI-BORGHETTO;PM10;20200130;31;1
PI-BORGHETTO;PM10;20200131;18;1
PI-BORGHETTO;PM10;20200201;14;1
PI-BORGHETTO;PM10;20200202;21;1
PI-BORGHETTO;PM10;20200203;33;1
PI-BORGHETTO;PM10;20200204;31;1
PI-BORGHETTO;PM10;20200205;10;1
PI-BORGHETTO;PM10;20200206;20;1
PI-BORGHETTO;PM10;20200207;35;1
PI-BORGHETTO;PM10;20200208;40;1
PI-BORGHETTO;PM10;20200209;48;1
PI-BORGHETTO;PM10;20200210;32;1
PI-BORGHETTO;PM10;20200211;41;1
PI-BORGHETTO;PM10;20200212;35;1
PI-BORGHETTO;PM10;20200213;28;1
PI-BORGHETTO;PM10;20200214;33;1
PI-BORGHETTO;PM10;20200215;34;1
PI-BORGHETTO;PM10;20200216;32;1
PI-BORGHETTO;PM10;20200217;22;1
PI-BORGHETTO;PM10;20200218;21;1
PI-BORGHETTO;PM10;20200219;25;1
PI-BORGHETTO;PM10;20200220;25;1
PI-BORGHETTO;PM10;20200221;38;1
PI-BORGHETTO;PM10;20200222;41;1
PI-BORGHETTO;PM10;20200223;31;1
PI-BORGHETTO;PM10;20200224;27;1
PI-BORGHETTO;PM10;20200225;31;1
PI-BORGHETTO;PM10;20200226;21;1
PI-BORGHETTO;PM10;20200227;15;1
PI-BORGHETTO;PM10;20200228;21;1
PI-BORGHETTO;PM10;20200229;24;1
PI-BORGHETTO;PM10;20200301;26;1
PI-BORGHETTO;PM10;20200302;22;1
PI-BORGHETTO;PM10;20200303;19;1
PI-BORGHETTO;PM10;20200304;24;1
PI-BORGHETTO;PM10;20200305;22;1
PI-BORGHETTO;PM10;20200306;18;1
PI-BORGHETTO;PM10;20200307;18;1
PI-BORGHETTO;PM10;20200308;21;1
PI-BORGHETTO;PM10;20200309;25;1
PI-BORGHETTO;PM10;20200310;27;1
PI-BORGHETTO;PM10;20200311;25;1
PI-BORGHETTO;PM10;20200312;NaN;0
PI-BORGHETTO;PM10;20200313;24;1
PI-BORGHETTO;PM10;20200314;25;1
