STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA ;VALIDITA
FI-MOSSE;PM10;20200101;81;1
FI-MOSSE;PM10;20200102;60;1
FI-MOSSE;PM10;20200103;60;1
FI-MOSSE;PM10;20200104;63;1
FI-MOSSE;PM10;20200105;45;1
FI-MOSSE;PM10;20200106;38;1
FI-MOSSE;PM10;20200107;56;1
FI-MOSSE;PM10;20200108;38;1
FI-MOSSE;PM10;20200109;46;1
FI-MOSSE;PM10;20200110;60;1
FI-MOSSE;PM10;20200111;26;1
FI-MOSSE;PM10;20200112;23;1
FI-MOSSE;PM10;20200113;39;1
FI-MOSSE;PM10;20200114;69;1
FI-MOSSE;PM10;20200115;57;1
FI-MOSSE;PM10;20200116;38;1
FI-MOSSE;PM10;20200117;46;1
FI-MOSSE;PM10;20200118;17;1
FI-MOSSE;PM10;20200119;8;1
FI-MOSSE;PM10;20200120;10;1
FI-MOSSE;PM10;20200121;22;1
FI-MOSSE;PM10;20200122;43;1
FI-MOSSE;PM10;20200123;44;1
FI-MOSSE;PM10;20200124;49;1
FI-MOSSE;PM10;20200125;25;1
FI-MOSSE;PM10;20200126;32;1
FI-MOSSE;PM10;20200127;25;1
FI-MOSSE;PM10;20200128;14;1
FI-MOSSE;PM10;20200129;30;1
FI-MOSSE;PM10;20200130;35;1
FI-MOSSE;PM10;20200131;22;1
FI-MOSSE;PM10;20200201;16;1
FI-MOSSE;PM10;20200202;14;1
FI-MOSSE;PM10;20200203;26;1
FI-MOSSE;PM10;20200204;27;1
FI-MOSSE;PM10;20200205;15;1
FI-MOSSE;PM10;20200206;24;1
FI-MOSSE;PM10;20200207;28;1
FI-MOSSE;PM10;20200208;31;1
FI-MOSSE;PM10;20200209;37;1
FI-MOSSE;PM10;20200210;14;1
FI-MOSSE;PM10;20200211;30;1
FI-MOSSE;PM10;20200212;27;1
FI-MOSSE;PM10;20200213;19;1
FI-MOSSE;PM10;20200214;25;1
FI-MOSSE;PM10;20200215;25;1
FI-MOSSE;PM10;20200216;26;1
FI-MOSSE;PM10;20200217;26;1
FI-MOSSE;PM10;20200218;17;1
FI-MOSSE;PM10;20200219;18;1
FI-MOSSE;PM10;20200220;21;1
FI-MOSSE;PM10;20200221;30;1
FI-MOSSE;PM10;20200222;33;1
FI-MOSSE;PM10;20200223;19;1
FI-MOSSE;PM10;20200224;25;1
FI-MOSSE;PM10;20200225;21;1
FI-MOSSE;PM10;20200226;NaN;0
FI-MOSSE;PM10;20200227;NaN;0
FI-MOSSE;PM10;20200228;NaN;0
FI-MOSSE;PM10;20200229;NaN;0
FI-MOSSE;PM10;20200301;NaN;0
FI-MOSSE;PM10;20200302;NaN;0
FI-MOSSE;PM10;20200303;16;1
FI-MOSSE;PM10;20200304;17;1
FI-MOSSE;PM10;20200305;20;1
FI-MOSSE;PM10;20200306;16;1
FI-MOSSE;PM10;20200307;13;1
FI-MOSSE;PM10;20200308;12;1
FI-MOSSE;PM10;20200309;22;1
FI-MOSSE;PM10;20200310;22;1
FI-MOSSE;PM10;20200311;22;1
FI-MOSSE;PM10;20200312;34;1
FI-MOSSE;PM10;20200313;21;1
FI-MOSSE;PM10;20200314;19;1
FI-MOSSE;PM10;20200315;8;1
FI-MOSSE;PM10;20200316;14;1
FI-MOSSE;PM10;20200317;26;1
FI-MOSSE;PM10;20200318;24;1
FI-MOSSE;PM10;20200319;21;1
FI-MOSSE;PM10;20200320;24;1
FI-MOSSE;PM10;20200321;18;1
FI-MOSSE;PM10;20200322;16;1
FI-MOSSE;PM10;20200323;11;1
FI-MOSSE;PM10;20200324;14;1
FI-MOSSE;PM10;20200325;11;1
FI-MOSSE;PM10;20200326;8;1
FI-MOSSE;PM10;20200327;21;1
FI-MOSSE;PM10;20200328;128;1
FI-MOSSE;PM10;20200329;66;1
FI-MOSSE;PM10;20200330;28;1
FI-MOSSE;PM10;20200331;9;1
FI-MOSSE;PM10;20200401;11;1
FI-MOSSE;PM10;20200402;15;1
FI-MOSSE;PM10;20200403;15;1
FI-MOSSE;PM10;20200404;17;1
FI-MOSSE;PM10;20200405;17;1
FI-MOSSE;PM10;20200406;24;1
FI-MOSSE;PM10;20200407;22;1
FI-MOSSE;PM10;20200408;18;1
FI-MOSSE;PM10;20200409;18;1
FI-MOSSE;PM10;20200410;20;1
FI-MOSSE;PM10;20200411;18;1
FI-MOSSE;PM10;20200412;13;1
FI-MOSSE;PM10;20200413;13;1
FI-MOSSE;PM10;20200414;11;1
FI-MOSSE;PM10;20200415;11;1
FI-MOSSE;PM10;20200416;14;1
FI-MOSSE;PM10;20200417;17;1
FI-MOSSE;PM10;20200418;20;1
FI-MOSSE;PM10;20200419;19;1
FI-MOSSE;PM10;20200420;6;1
FI-MOSSE;PM10;20200421;8;1
FI-MOSSE;PM10;20200422;17;1
FI-MOSSE;PM10;20200423;20;1
FI-MOSSE;PM10;20200424;21;1
FI-MOSSE;PM10;20200425;12;1
FI-MOSSE;PM10;20200426;8;1
FI-MOSSE;PM10;20200427;8;1
FI-MOSSE;PM10;20200428;7;1
FI-MOSSE;PM10;20200429;15;1
FI-MOSSE;PM10;20200430;13;1
FI-MOSSE;PM10;20200501;10;1
FI-MOSSE;PM10;20200502;16;1
FI-MOSSE;PM10;20200503;10;1
FI-MOSSE;PM10;20200504;10;1
FI-MOSSE;PM10;20200505;14;1
FI-MOSSE;PM10;20200506;12;1
FI-MOSSE;PM10;20200507;9;1
FI-MOSSE;PM10;20200508;14;1
FI-MOSSE;PM10;20200509;14;1
FI-MOSSE;PM10;20200510;10;1
FI-MOSSE;PM10;20200511;10;1
FI-MOSSE;PM10;20200512;7;1
FI-MOSSE;PM10;20200513;14;1
FI-MOSSE;PM10;20200514;NaN;0
FI-MOSSE;PM10;20200515;20;1
FI-MOSSE;PM10;20200516;17;1
FI-MOSSE;PM10;20200517;20;1
FI-MOSSE;PM10;20200518;22;1
FI-MOSSE;PM10;20200519;22;1
FI-MOSSE;PM10;20200520;10;1
FI-MOSSE;PM10;20200521;11;1
FI-MOSSE;PM10;20200522;15;1
FI-MOSSE;PM10;20200523;13;1
FI-MOSSE;PM10;20200524;10;1
FI-MOSSE;PM10;20200525;8;1
