STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA ;VALIDITA
PI-BORGHETTO;PM10;20210101;9;1
PI-BORGHETTO;PM10;20210102;6;1
PI-BORGHETTO;PM10;20210103;8;1
PI-BORGHETTO;PM10;20210104;12;1
PI-BORGHETTO;PM10;20210105;8;1
PI-BORGHETTO;PM10;20210106;11;1
PI-BORGHETTO;PM10;20210107;22;1
PI-BORGHETTO;PM10;20210108;31;1
PI-BORGHETTO;PM10;20210109;14;1
PI-BORGHETTO;PM10;20210110;9;1
PI-BORGHETTO;PM10;20210111;13;1
PI-BORGHETTO;PM10;20210112;30;1
PI-BORGHETTO;PM10;20210113;47;1
PI-BORGHETTO;PM10;20210114;32;1
PI-BORGHETTO;PM10;20210115;16;1
PI-BORGHETTO;PM10;20210116;21;1
PI-BORGHETTO;PM10;20210117;28;1
PI-BORGHETTO;PM10;20210118;41;1
PI-BORGHETTO;PM10;20210119;47;1
PI-BORGHETTO;PM10;20210120;20;1
PI-BORGHETTO;PM10;20210121;27;1
PI-BORGHETTO;PM10;20210122;19;1
PI-BORGHETTO;PM10;20210123;15;1
PI-BORGHETTO;PM10;20210124;18;1
PI-BORGHETTO;PM10;20210125;20;1
PI-BORGHETTO;PM10;20210126;30;1
PI-BORGHETTO;PM10;20210127;37;1
PI-BORGHETTO;PM10;20210128;51;1
PI-BORGHETTO;PM10;20210129;29;1
PI-BORGHETTO;PM10;20210130;28;1
PI-BORGHETTO;PM10;20210131;14;1
PI-BORGHETTO;PM10;20210201;16;1
PI-BORGHETTO;PM10;20210202;30;1
PI-BORGHETTO;PM10;20210203;26;1
PI-BORGHETTO;PM10;20210204;28;1
PI-BORGHETTO;PM10;20210205;30;1
PI-BORGHETTO;PM10;20210206;48;1
PI-BORGHETTO;PM10;20210207;37;1
PI-BORGHETTO;PM10;20210208;14;1
PI-BORGHETTO;PM10;20210209;21;1
PI-BORGHETTO;PM10;20210210;18;1
PI-BORGHETTO;PM10;20210211;24;1
PI-BORGHETTO;PM10;20210212;12;1
PI-BORGHETTO;PM10;20210213;8;1
PI-BORGHETTO;PM10;20210214;12;1
PI-BORGHETTO;PM10;20210215;32;1
PI-BORGHETTO;PM10;20210216;29;1
PI-BORGHETTO;PM10;20210217;14;1
PI-BORGHETTO;PM10;20210218;27;1
PI-BORGHETTO;PM10;20210219;20;1
PI-BORGHETTO;PM10;20210220;25;1
PI-BORGHETTO;PM10;20210221;33;1
PI-BORGHETTO;PM10;20210222;39;1
PI-BORGHETTO;PM10;20210223;45;1
PI-BORGHETTO;PM10;20210224;39;1
PI-BORGHETTO;PM10;20210225;39;1
PI-BORGHETTO;PM10;20210226;46;1
PI-BORGHETTO;PM10;20210227;62;1
PI-BORGHETTO;PM10;20210228;13;1
PI-BORGHETTO;PM10;20210301;23;1
PI-BORGHETTO;PM10;20210302;34;1
PI-BORGHETTO;PM10;20210303;39;1
PI-BORGHETTO;PM10;20210304;38;1
PI-BORGHETTO;PM10;20210305;43;1
PI-BORGHETTO;PM10;20210306;25;1
PI-BORGHETTO;PM10;20210307;18;1
PI-BORGHETTO;PM10;20210308;36;1
PI-BORGHETTO;PM10;20210309;NaN;0
PI-BORGHETTO;PM10;20210310;30;1
PI-BORGHETTO;PM10;20210311;37;1
PI-BORGHETTO;PM10;20210312;26;1
PI-BORGHETTO;PM10;20210313;24;1
PI-BORGHETTO;PM10;20210314;17;1
PI-BORGHETTO;PM10;20210315;19;1
PI-BORGHETTO;PM10;20210316;26;1
PI-BORGHETTO;PM10;20210317;23;1
PI-BORGHETTO;PM10;20210318;15;1
PI-BORGHETTO;PM10;20210319;10;1
PI-BORGHETTO;PM10;20210320;9;1
PI-BORGHETTO;PM10;20210321;11;1
PI-BORGHETTO;PM10;20210322;12;1
PI-BORGHETTO;PM10;20210323;19;1
PI-BORGHETTO;PM10;20210324;21;1
PI-BORGHETTO;PM10;20210325;23;1
PI-BORGHETTO;PM10;20210326;31;1
PI-BORGHETTO;PM10;20210327;24;1
PI-BORGHETTO;PM10;20210328;21;1
PI-BORGHETTO;PM10;20210329;19;1
PI-BORGHETTO;PM10;20210330;26;1
PI-BORGHETTO;PM10;20210331;22;1
PI-BORGHETTO;PM10;20210401;24;1
PI-BORGHETTO;PM10;20210402;19;1
PI-BORGHETTO;PM10;20210403;21;1
PI-BORGHETTO;PM10;20210404;8;1
PI-BORGHETTO;PM10;20210405;9;1
PI-BORGHETTO;PM10;20210406;11;1
PI-BORGHETTO;PM10;20210407;10;1
PI-BORGHETTO;PM10;20210408;17;1
PI-BORGHETTO;PM10;20210409;13;1
PI-BORGHETTO;PM10;20210410;14;1
PI-BORGHETTO;PM10;20210411;20;1
PI-BORGHETTO;PM10;20210412;15;1
PI-BORGHETTO;PM10;20210413;12;1
PI-BORGHETTO;PM10;20210414;9;1
PI-BORGHETTO;PM10;20210415;10;1
PI-BORGHETTO;PM10;20210416;11;1
PI-BORGHETTO;PM10;20210417;11;1
PI-BORGHETTO;PM10;20210418;12;1
PI-BORGHETTO;PM10;20210419;17;1
PI-BORGHETTO;PM10;20210420;18;1
PI-BORGHETTO;PM10;20210421;18;1
PI-BORGHETTO;PM10;20210422;18;1
PI-BORGHETTO;PM10;20210423;18;1
PI-BORGHETTO;PM10;20210424;14;1
PI-BORGHETTO;PM10;20210425;14;1
PI-BORGHETTO;PM10;20210426;17;1
PI-BORGHETTO;PM10;20210427;14;1
PI-BORGHETTO;PM10;20210428;12;1
PI-BORGHETTO;PM10;20210429;16;1
PI-BORGHETTO;PM10;20210430;17;1
PI-BORGHETTO;PM10;20210501;17;1
PI-BORGHETTO;PM10;20210502;19;1
PI-BORGHETTO;PM10;20210503;18;1
PI-BORGHETTO;PM10;20210504;16;1
PI-BORGHETTO;PM10;20210505;16;1
PI-BORGHETTO;PM10;20210506;21;1
PI-BORGHETTO;PM10;20210507;20;1
PI-BORGHETTO;PM10;20210508;19;1
PI-BORGHETTO;PM10;20210509;15;1
PI-BORGHETTO;PM10;20210510;18;1
PI-BORGHETTO;PM10;20210511;10;1
PI-BORGHETTO;PM10;20210512;17;1
PI-BORGHETTO;PM10;20210513;18;1
PI-BORGHETTO;PM10;20210514;17;1
PI-BORGHETTO;PM10;20210515;12;1
PI-BORGHETTO;PM10;20210516;13;1
PI-BORGHETTO;PM10;20210517;21;1
