STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA ;VALIDITA
FI-MOSSE;PM10;20220101;114;1
FI-MOSSE;PM10;20220102;18;1
FI-MOSSE;PM10;20220103;12;1
FI-MOSSE;PM10;20220104;14;1
FI-MOSSE;PM10;20220105;15;1
FI-MOSSE;PM10;20220106;4;1
FI-MOSSE;PM10;20220107;13;1
FI-MOSSE;PM10;20220108;29;1
FI-MOSSE;PM10;20220109;15;1
FI-MOSSE;PM10;20220110;8;1
FI-MOSSE;PM10;20220111;12;1
FI-MOSSE;PM10;20220112;19;1
FI-MOSSE;PM10;20220113;19;1
FI-MOSSE;PM10;20220114;40;1
FI-MOSSE;PM10;20220115;46;1
FI-MOSSE;PM10;20220116;43;1
FI-MOSSE;PM10;20220117;39;1
FI-MOSSE;PM10;20220118;46;1
FI-MOSSE;PM10;20220119;42;1
FI-MOSSE;PM10;20220120;29;1
FI-MOSSE;PM10;20220121;27;1
FI-MOSSE;PM10;20220122;28;1
FI-MOSSE;PM10;20220123;50;1
FI-MOSSE;PM10;20220124;55;1
FI-MOSSE;PM10;20220125;31;1
FI-MOSSE;PM10;20220126;60;1
FI-MOSSE;PM10;20220127;60;1
FI-MOSSE;PM10;20220128;30;1
FI-MOSSE;PM10;20220129;28;1
FI-MOSSE;PM10;20220130;39;1
FI-MOSSE;PM10;20220131;36;1
FI-MOSSE;PM10;20220201;NaN;0
FI-MOSSE;PM10;20220202;NaN;0
FI-MOSSE;PM10;20220203;57;1
FI-MOSSE;PM10;20220204;60;1
FI-MOSSE;PM10;20220205;56;1
FI-MOSSE;PM10;20220206;30;1
FI-MOSSE;PM10;20220207;25;1
FI-MOSSE;PM10;20220208;29;1
FI-MOSSE;PM10;20220209;37;1
FI-MOSSE;PM10;20220210;NaN;0
FI-MOSSE;PM10;20220211;36;1
FI-MOSSE;PM10;20220212;19;1
FI-MOSSE;PM10;20220213;11;1
FI-MOSSE;PM10;20220214;22;1
FI-MOSSE;PM10;20220215;19;1
FI-MOSSE;PM10;20220216;43;1
FI-MOSSE;PM10;20220217;52;1
FI-MOSSE;PM10;20220218;NaN;0
FI-MOSSE;PM10;20220219;33;1
FI-MOSSE;PM10;20220220;22;1
FI-MOSSE;PM10;20220221;29;1
FI-MOSSE;PM10;20220222;25;1
FI-MOSSE;PM10;20220223;35;1
FI-MOSSE;PM10;20220224;34;1
FI-MOSSE;PM10;20220225;28;1
FI-MOSSE;PM10;20220226;8;1
FI-MOSSE;PM10;20220227;NaN;0
FI-MOSSE;PM10;20220228;24;1
FI-MOSSE;PM10;20220301;NaN;0
FI-MOSSE;PM10;20220302;33;1
FI-MOSSE;PM10;20220303;31;1
FI-MOSSE;PM10;20220304;20;1
FI-MOSSE;PM10;20220305;14;1
FI-MOSSE;PM10;20220306;22;1
FI-MOSSE;PM10;20220307;28;1
FI-MOSSE;PM10;20220308;24;1
FI-MOSSE;PM10;20220309;36;1
FI-MOSSE;PM10;20220310;41;1
FI-MOSSE;PM10;20220311;30;1
FI-MOSSE;PM10;20220312;22;1
FI-MOSSE;PM10;20220313;20;1
FI-MOSSE;PM10;20220314;32;1
FI-MOSSE;PM10;20220315;38;1
FI-MOSSE;PM10;20220316;32;1
FI-MOSSE;PM10;20220317;41;1
FI-MOSSE;PM10;20220318;36;1
FI-MOSSE;PM10;20220319;28;1
FI-MOSSE;PM10;20220320;30;1
FI-MOSSE;PM10;20220321;25;1
FI-MOSSE;PM10;20220322;26;1
FI-MOSSE;PM10;20220323;27;1
FI-MOSSE;PM10;20220324;34;1
FI-MOSSE;PM10;20220325;38;1
FI-MOSSE;PM10;20220326;33;1
FI-MOSSE;PM10;20220327;28;1
FI-MOSSE;PM10;20220328;32;1
FI-MOSSE;PM10;20220329;37;1
FI-MOSSE;PM10;20220330;26;1
FI-MOSSE;PM10;20220331;6;1
FI-MOSSE;PM10;20220401;26;1
FI-MOSSE;PM10;20220402;14;1
FI-MOSSE;PM10;20220403;20;1
FI-MOSSE;PM10;20220404;27;1
FI-MOSSE;PM10;20220405;25;1
FI-MOSSE;PM10;20220406;21;1
FI-MOSSE;PM10;20220407;25;1
FI-MOSSE;PM10;20220408;27;1
FI-MOSSE;PM10;20220409;26;1
FI-MOSSE;PM10;20220410;9;1
FI-MOSSE;PM10;20220411;19;1
FI-MOSSE;PM10;20220412;22;1
FI-MOSSE;PM10;20220413;23;1
FI-MOSSE;PM10;20220414;16;1
FI-MOSSE;PM10;20220415;18;1
FI-MOSSE;PM10;20220416;15;1
FI-MOSSE;PM10;20220417;13;1
FI-MOSSE;PM10;20220418;12;1
FI-MOSSE;PM10;20220419;18;1
FI-MOSSE;PM10;20220420;21;1
FI-MOSSE;PM10;20220421;10;1
FI-MOSSE;PM10;20220422;13;1
FI-MOSSE;PM10;20220423;14;1
FI-MOSSE;PM10;20220424;12;1
