STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA ;VALIDITA
LI-CARDUCCI;PM10;20200101;48;1
LI-CARDUCCI;PM10;20200102;57;1
LI-CARDUCCI;PM10;20200103;46;1
LI-CARDUCCI;PM10;20200104;36;1
LI-CARDUCCI;PM10;20200105;30;1
LI-CARDUCCI;PM10;20200106;25;1
LI-CARDUCCI;PM10;20200107;40;1
LI-CARDUCCI;PM10;20200108;44;1
LI-CARDUCCI;PM10;20200109;36;1
LI-CARDUCCI;PM10;20200110;41;1
LI-CARDUCCI;PM10;20200111;43;1
LI-CARDUCCI;PM10;20200112;30;1
LI-CARDUCCI;PM10;20200113;31;1
LI-CARDUCCI;PM10;20200114;35;1
LI-CARDUCCI;PM10;20200115;NaN;0
LI-CARDUCCI;PM10;20200116;NaN;0
LI-CARDUCCI;PM10;20200117;37;1
LI-CARDUCCI;PM10;20200118;21;1
LI-CARDUCCI;PM10;20200119;11;1
LI-CARDUCCI;PM10;20200120;13;1
LI-CARDUCCI;PM10;20200121;18;1
LI-CARDUCCI;PM10;20200122;38;1
LI-CARDUCCI;PM10;20200123;39;1
LI-CARDUCCI;PM10;20200124;42;1
LI-CARDUCCI;PM10;20200125;33;1
LI-CARDUCCI;PM10;20200126;34;1
LI-CARDUCCI;PM10;20200127;21;1
LI-CARDUCCI;PM10;20200128;28;1
LI-CARDUCCI;PM10;20200129;32;1
LI-CARDUCCI;PM10;20200130;26;1
LI-CARDUCCI;PM10;20200131;21;1
LI-CARDUCCI;PM10;20200201;16;1
LI-CARDUCCI;PM10;20200202;18;1
LI-CARDUCCI;PM10;20200203;34;1
LI-CARDUCCI;PM10;20200204;42;1
LI-CARDUCCI;PM10;20200205;21;1
LI-CARDUCCI;PM10;20200206;27;1
LI-CARDUCCI;PM10;20200207;26;1
LI-CARDUCCI;PM10;20200208;27;1
LI-CARDUCCI;PM10;20200209;18;1
LI-CARDUCCI;PM10;20200210;31;1
LI-CARDUCCI;PM10;20200211;45;1
LI-CARDUCCI;PM10;20200212;36;1
LI-CARDUCCI;PM10;20200213;24;1
LI-CARDUCCI;PM10;20200214;39;1
