STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA;VALIDITA
AR-REPUBBLICA;PM10;20200511;13;1
AR-REPUBBLICA;PM10;20200512;15;1
AR-REPUBBLICA;PM10;20200513;25;1
AR-REPUBBLICA;PM10;20200514;45;1
AR-REPUBBLICA;PM10;20200515;27;1
AR-REPUBBLICA;PM10;20200516;16;1
AR-REPUBBLICA;PM10;20200517;28;1
AR-REPUBBLICA;PM10;20200518;37;1
AR-REPUBBLICA;PM10;20200519;26;1
AR-REPUBBLICA;PM10;20200520;15;1
AR-REPUBBLICA;PM10;20200521;12;1
AR-REPUBBLICA;PM10;20200522;18;1
AR-REPUBBLICA;PM10;20200523;16;1
AR-REPUBBLICA;PM10;20200524;13;1
AR-REPUBBLICA;PM10;20200525;8;1
AR-REPUBBLICA;PM10;20200526;8;1
AR-REPUBBLICA;PM10;20200527;10;1
AR-REPUBBLICA;PM10;20200528;NaN;0
AR-REPUBBLICA;PM10;20200529;11;1
AR-REPUBBLICA;PM10;20200530;13;1
AR-REPUBBLICA;PM10;20200531;13;1
AR-REPUBBLICA;PM10;20200601;NaN;0
AR-REPUBBLICA;PM10;20200602;12;1
AR-REPUBBLICA;PM10;20200603;14;1
AR-REPUBBLICA;PM10;20200604;14;1
AR-REPUBBLICA;PM10;20200605;19;1
AR-REPUBBLICA;PM10;20200606;21;1
AR-REPUBBLICA;PM10;20200607;17;1
AR-REPUBBLICA;PM10;20200608;19;1
AR-REPUBBLICA;PM10;20200609;NaN;0
AR-REPUBBLICA;PM10;20200610;18;1
AR-REPUBBLICA;PM10;20200611;15;1
AR-REPUBBLICA;PM10;20200612;17;1
AR-REPUBBLICA;PM10;20200613;16;1
AR-REPUBBLICA;PM10;20200614;11;1
AR-REPUBBLICA;PM10;20200615;21;1
AR-REPUBBLICA;PM10;20200616;19;1
AR-REPUBBLICA;PM10;20200617;21;1
AR-REPUBBLICA;PM10;20200618;20;1
AR-REPUBBLICA;PM10;20200619;14;1
AR-REPUBBLICA;PM10;20200620;13;1
AR-REPUBBLICA;PM10;20200621;15;1
AR-REPUBBLICA;PM10;20200622;16;1
AR-REPUBBLICA;PM10;20200623;18;1
AR-REPUBBLICA;PM10;20200624;21;1
AR-REPUBBLICA;PM10;20200625;23;1
AR-REPUBBLICA;PM10;20200626;23;1
AR-REPUBBLICA;PM10;20200627;19;1
AR-REPUBBLICA;PM10;20200628;20;1
AR-REPUBBLICA;PM10;20200629;NaN;0
AR-REPUBBLICA;PM10;20200630;NaN;0
AR-REPUBBLICA;PM10;20200701;NaN;0
AR-REPUBBLICA;PM10;20200702;25;1
AR-REPUBBLICA;PM10;20200703;24;1
AR-REPUBBLICA;PM10;20200704;13;1
AR-REPUBBLICA;PM10;20200705;11;1
AR-REPUBBLICA;PM10;20200706;17;1
AR-REPUBBLICA;PM10;20200707;15;1
AR-REPUBBLICA;PM10;20200708;18;1
AR-REPUBBLICA;PM10;20200709;24;1
AR-REPUBBLICA;PM10;20200710;26;1
AR-REPUBBLICA;PM10;20200711;25;1
AR-REPUBBLICA;PM10;20200712;15;1
AR-REPUBBLICA;PM10;20200713;12;1
AR-REPUBBLICA;PM10;20200714;15;1
AR-REPUBBLICA;PM10;20200715;21;1
AR-REPUBBLICA;PM10;20200716;21;1
AR-REPUBBLICA;PM10;20200717;20;1
AR-REPUBBLICA;PM10;20200718;11;1
AR-REPUBBLICA;PM10;20200719;9;1
AR-REPUBBLICA;PM10;20200720;19;1
AR-REPUBBLICA;PM10;20200721;22;1
AR-REPUBBLICA;PM10;20200722;24;1
AR-REPUBBLICA;PM10;20200723;25;1
AR-REPUBBLICA;PM10;20200724;23;1
AR-REPUBBLICA;PM10;20200725;14;1
AR-REPUBBLICA;PM10;20200726;19;1
AR-REPUBBLICA;PM10;20200727;25;1
AR-REPUBBLICA;PM10;20200728;24;1
AR-REPUBBLICA;PM10;20200729;32;1
AR-REPUBBLICA;PM10;20200730;34;1
AR-REPUBBLICA;PM10;20200731;31;1
AR-REPUBBLICA;PM10;20200801;26;1
AR-REPUBBLICA;PM10;20200802;25;1
AR-REPUBBLICA;PM10;20200803;24;1
AR-REPUBBLICA;PM10;20200804;21;1
AR-REPUBBLICA;PM10;20200805;15;1
AR-REPUBBLICA;PM10;20200806;18;1
AR-REPUBBLICA;PM10;20200807;25;1
AR-REPUBBLICA;PM10;20200808;28;1
AR-REPUBBLICA;PM10;20200809;25;1
AR-REPUBBLICA;PM10;20200810;25;1
AR-REPUBBLICA;PM10;20200811;26;1
AR-REPUBBLICA;PM10;20200812;25;1
AR-REPUBBLICA;PM10;20200813;24;1
AR-REPUBBLICA;PM10;20200814;26;1
AR-REPUBBLICA;PM10;20200815;22;1
AR-REPUBBLICA;PM10;20200816;17;1
AR-REPUBBLICA;PM10;20200817;25;1
AR-REPUBBLICA;PM10;20200818;24;1
AR-REPUBBLICA;PM10;20200819;15;1
AR-REPUBBLICA;PM10;20200820;16;1
AR-REPUBBLICA;PM10;20200821;20;1
AR-REPUBBLICA;PM10;20200822;17;1
AR-REPUBBLICA;PM10;20200823;15;1
AR-REPUBBLICA;PM10;20200824;18;1
AR-REPUBBLICA;PM10;20200825;22;1
AR-REPUBBLICA;PM10;20200826;22;1
AR-REPUBBLICA;PM10;20200827;20;1
