STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA ;VALIDITA
LU-MICHELETTO;PM10;20230101;70;1
LU-MICHELETTO;PM10;20230102;50;1
LU-MICHELETTO;PM10;20230103;44;1
LU-MICHELETTO;PM10;20230104;42;1
LU-MICHELETTO;PM10;20230105;38;1
LU-MICHELETTO;PM10;20230106;34;1
LU-MICHELETTO;PM10;20230107;43;1
LU-MICHELETTO;PM10;20230108;36;1
LU-MICHELETTO;PM10;20230109;18;1
LU-MICHELETTO;PM10;20230110;37;1
LU-MICHELETTO;PM10;20230111;47;1
LU-MICHELETTO;PM10;20230112;38;1
LU-MICHELETTO;PM10;20230113;61;1
LU-MICHELETTO;PM10;20230114;51;1
LU-MICHELETTO;PM10;20230115;54;1
LU-MICHELETTO;PM10;20230116;12;1
LU-MICHELETTO;PM10;20230117;8;1
LU-MICHELETTO;PM10;20230118;14;1
LU-MICHELETTO;PM10;20230119;18;1
LU-MICHELETTO;PM10;20230120;29;1
LU-MICHELETTO;PM10;20230121;26;1
LU-MICHELETTO;PM10;20230122;22;1
LU-MICHELETTO;PM10;20230123;25;1
LU-MICHELETTO;PM10;20230124;31;1
LU-MICHELETTO;PM10;20230125;26;1
LU-MICHELETTO;PM10;20230126;30;1
LU-MICHELETTO;PM10;20230127;27;1
LU-MICHELETTO;PM10;20230128;16;1
LU-MICHELETTO;PM10;20230129;29;1
LU-MICHELETTO;PM10;20230130;49;1
LU-MICHELETTO;PM10;20230131;39;1
LU-MICHELETTO;PM10;20230201;49;1
LU-MICHELETTO;PM10;20230202;46;1
LU-MICHELETTO;PM10;20230203;31;1
LU-MICHELETTO;PM10;20230204;36;1
LU-MICHELETTO;PM10;20230205;24;1
LU-MICHELETTO;PM10;20230206;14;1
LU-MICHELETTO;PM10;20230207;21;1
LU-MICHELETTO;PM10;20230208;26;1
LU-MICHELETTO;PM10;20230209;26;1
LU-MICHELETTO;PM10;20230210;47;1
LU-MICHELETTO;PM10;20230211;59;1
LU-MICHELETTO;PM10;20230212;65;1
LU-MICHELETTO;PM10;20230213;65;1
LU-MICHELETTO;PM10;20230214;62;1
LU-MICHELETTO;PM10;20230215;64;1
LU-MICHELETTO;PM10;20230216;54;1
LU-MICHELETTO;PM10;20230217;37;1
LU-MICHELETTO;PM10;20230218;39;1
LU-MICHELETTO;PM10;20230219;21;1
LU-MICHELETTO;PM10;20230220;30;1
LU-MICHELETTO;PM10;20230221;35;1
LU-MICHELETTO;PM10;20230222;37;1
LU-MICHELETTO;PM10;20230223;32;1
LU-MICHELETTO;PM10;20230224;38;1
LU-MICHELETTO;PM10;20230225;55;1
LU-MICHELETTO;PM10;20230226;8;1
LU-MICHELETTO;PM10;20230227;7;1
LU-MICHELETTO;PM10;20230228;12;1
LU-MICHELETTO;PM10;20230301;17;1
LU-MICHELETTO;PM10;20230302;31;1
LU-MICHELETTO;PM10;20230303;28;1
