STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA ;VALIDITA
LI-CARDUCCI;PM10;20220101;19;1
LI-CARDUCCI;PM10;20220102;20;1
LI-CARDUCCI;PM10;20220103;17;1
LI-CARDUCCI;PM10;20220104;18;1
LI-CARDUCCI;PM10;20220105;14;1
LI-CARDUCCI;PM10;20220106;5;1
LI-CARDUCCI;PM10;20220107;15;1
LI-CARDUCCI;PM10;20220108;20;1
LI-CARDUCCI;PM10;20220109;12;1
LI-CARDUCCI;PM10;20220110;17;1
LI-CARDUCCI;PM10;20220111;14;1
LI-CARDUCCI;PM10;20220112;13;1
LI-CARDUCCI;PM10;20220113;17;1
LI-CARDUCCI;PM10;20220114;37;1
LI-CARDUCCI;PM10;20220115;44;1
LI-CARDUCCI;PM10;20220116;21;1
LI-CARDUCCI;PM10;20220117;36;1
LI-CARDUCCI;PM10;20220118;33;1
LI-CARDUCCI;PM10;20220119;31;1
LI-CARDUCCI;PM10;20220120;19;1
LI-CARDUCCI;PM10;20220121;23;1
LI-CARDUCCI;PM10;20220122;27;1
LI-CARDUCCI;PM10;20220123;29;1
LI-CARDUCCI;PM10;20220124;34;1
LI-CARDUCCI;PM10;20220125;23;1
LI-CARDUCCI;PM10;20220126;36;1
LI-CARDUCCI;PM10;20220127;47;1
LI-CARDUCCI;PM10;20220128;22;1
LI-CARDUCCI;PM10;20220129;20;1
LI-CARDUCCI;PM10;20220130;20;1
LI-CARDUCCI;PM10;20220131;27;1
LI-CARDUCCI;PM10;20220201;28;1
LI-CARDUCCI;PM10;20220202;27;1
LI-CARDUCCI;PM10;20220203;22;1
LI-CARDUCCI;PM10;20220204;29;1
LI-CARDUCCI;PM10;20220205;30;1
LI-CARDUCCI;PM10;20220206;21;1
LI-CARDUCCI;PM10;20220207;26;1
LI-CARDUCCI;PM10;20220208;25;1
LI-CARDUCCI;PM10;20220209;31;1
LI-CARDUCCI;PM10;20220210;28;1
LI-CARDUCCI;PM10;20220211;26;1
LI-CARDUCCI;PM10;20220212;27;1
LI-CARDUCCI;PM10;20220213;15;1
LI-CARDUCCI;PM10;20220214;24;1
LI-CARDUCCI;PM10;20220215;22;1
LI-CARDUCCI;PM10;20220216;24;1
LI-CARDUCCI;PM10;20220217;18;1
LI-CARDUCCI;PM10;20220218;19;1
LI-CARDUCCI;PM10;20220219;18;1
LI-CARDUCCI;PM10;20220220;18;1
LI-CARDUCCI;PM10;20220221;21;1
LI-CARDUCCI;PM10;20220222;21;1
LI-CARDUCCI;PM10;20220223;23;1
LI-CARDUCCI;PM10;20220224;25;1
LI-CARDUCCI;PM10;20220225;16;1
LI-CARDUCCI;PM10;20220226;10;1
LI-CARDUCCI;PM10;20220227;12;1
LI-CARDUCCI;PM10;20220228;21;1
LI-CARDUCCI;PM10;20220301;22;1
LI-CARDUCCI;PM10;20220302;27;1
LI-CARDUCCI;PM10;20220303;NaN;0
LI-CARDUCCI;PM10;20220304;25;1
LI-CARDUCCI;PM10;20220305;20;1
LI-CARDUCCI;PM10;20220306;21;1
LI-CARDUCCI;PM10;20220307;28;1
LI-CARDUCCI;PM10;20220308;21;1
LI-CARDUCCI;PM10;20220309;32;1
LI-CARDUCCI;PM10;20220310;38;1
LI-CARDUCCI;PM10;20220311;23;1
