STAZIONE;PARAMETRO;DATA ;MEDIA GIORNALIERA ;VALIDITA
AR-REPUBBLICA;PM10;20230101;66;1
AR-REPUBBLICA;PM10;20230102;47;1
AR-REPUBBLICA;PM10;20230103;50;1
AR-REPUBBLICA;PM10;20230104;43;1
AR-REPUBBLICA;PM10;20230105;29;1
AR-REPUBBLICA;PM10;20230106;26;1
AR-REPUBBLICA;PM10;20230107;31;1
AR-REPUBBLICA;PM10;20230108;17;1
AR-REPUBBLICA;PM10;20230109;15;1
AR-REPUBBLICA;PM10;20230110;24;1
AR-REPUBBLICA;PM10;20230111;48;1
AR-REPUBBLICA;PM10;20230112;36;1
AR-REPUBBLICA;PM10;20230113;49;1
AR-REPUBBLICA;PM10;20230114;46;1
AR-REPUBBLICA;PM10;20230115;26;1
AR-REPUBBLICA;PM10;20230116;8;1
AR-REPUBBLICA;PM10;20230117;2;1
AR-REPUBBLICA;PM10;20230118;7;1
AR-REPUBBLICA;PM10;20230119;10;1
AR-REPUBBLICA;PM10;20230120;15;1
AR-REPUBBLICA;PM10;20230121;18;1
AR-REPUBBLICA;PM10;20230122;15;1
AR-REPUBBLICA;PM10;20230123;17;1
AR-REPUBBLICA;PM10;20230124;24;1
AR-REPUBBLICA;PM10;20230125;15;1
AR-REPUBBLICA;PM10;20230126;13;1
AR-REPUBBLICA;PM10;20230127;11;1
AR-REPUBBLICA;PM10;20230128;14;1
AR-REPUBBLICA;PM10;20230129;18;1
AR-REPUBBLICA;PM10;20230130;32;1
AR-REPUBBLICA;PM10;20230131;38;1
AR-REPUBBLICA;PM10;20230201;69;1
AR-REPUBBLICA;PM10;20230202;50;1
AR-REPUBBLICA;PM10;20230203;38;1
AR-REPUBBLICA;PM10;20230204;22;1
AR-REPUBBLICA;PM10;20230205;14;1
AR-REPUBBLICA;PM10;20230206;10;1
AR-REPUBBLICA;PM10;20230207;13;1
AR-REPUBBLICA;PM10;20230208;18;1
AR-REPUBBLICA;PM10;20230209;18;1
AR-REPUBBLICA;PM10;20230210;26;1
AR-REPUBBLICA;PM10;20230211;43;1
AR-REPUBBLICA;PM10;20230212;34;1
AR-REPUBBLICA;PM10;20230213;30;1
AR-REPUBBLICA;PM10;20230214;43;1
AR-REPUBBLICA;PM10;20230215;48;1
AR-REPUBBLICA;PM10;20230216;40;1
AR-REPUBBLICA;PM10;20230217;35;1
AR-REPUBBLICA;PM10;20230218;30;1
AR-REPUBBLICA;PM10;20230219;26;1
AR-REPUBBLICA;PM10;20230220;35;1
AR-REPUBBLICA;PM10;20230221;44;1
AR-REPUBBLICA;PM10;20230222;47;1
AR-REPUBBLICA;PM10;20230223;42;1
AR-REPUBBLICA;PM10;20230224;54;1
AR-REPUBBLICA;PM10;20230225;46;1
AR-REPUBBLICA;PM10;20230226;9;1
AR-REPUBBLICA;PM10;20230227;7;1
AR-REPUBBLICA;PM10;20230228;12;1
AR-REPUBBLICA;PM10;20230301;15;1
AR-REPUBBLICA;PM10;20230302;19;1
AR-REPUBBLICA;PM10;20230303;25;1
AR-REPUBBLICA;PM10;20230304;28;1
